shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10065,-20.4016282844,148.586730586,10001
10065,-20.4022278501,148.586659924,10002
10065,-20.4021887099,148.586538639,10003
10065,-20.4020643356,148.585403275,10004
10065,-20.4020742216,148.585402037,10005
10065,-20.4020947491,148.585393801,10006
10065,-20.4021151796,148.585381742,10007
10065,-20.4021319093,148.585365964,10008
10065,-20.4021458393,148.585346441,10009
10065,-20.4021551918,148.58532418,10010
10065,-20.4021599912,148.585300137,10011
10065,-20.4021602375,148.58527431,10012
10065,-20.4040305428,148.585042091,10013
10065,-20.4039963674,148.584690201,10014
10065,-20.4061640047,148.58441505,10015
10065,-20.4060603655,148.583457895,10016
10065,-20.4059807369,148.582700876,10017
10065,-20.4059106397,148.582070773,10018
10065,-20.4059106397,148.582070773,20001
10065,-20.4058418538,148.581456891,20002
10065,-20.4047525753,148.581592253,20003
10065,-20.4036615186,148.581728619,20004
10065,-20.4026594348,148.581853833,20005
10065,-20.4025931475,148.581373769,20006
10065,-20.4022345511,148.581418441,20007
10065,-20.4016360621,148.581495785,20008
10065,-20.4013909417,148.579264191,20009
10065,-20.4013153597,148.578596017,20010
10065,-20.4012225475,148.577746648,20011
10065,-20.4010743419,148.576385359,20012
10065,-20.4044410287,148.575967743,20013
10065,-20.4041945888,148.573758163,20014
10065,-20.4040778216,148.572712481,20015
10065,-20.4034369998,148.572791073,20016
10065,-20.4034369998,148.572791073,30001
10065,-20.4032203895,148.572817356,30002
10065,-20.4017905072,148.572995035,30003
10065,-20.4016925504,148.573007402,30004
10065,-20.4007123007,148.573104312,30005
10065,-20.4010743419,148.576385359,30006
10065,-20.4012225475,148.577746648,30007
10065,-20.4013153597,148.578596017,30008
10065,-20.4013909417,148.579264191,30009
10065,-20.4016360621,148.581495785,30010
10065,-20.4008524185,148.581595631,30011
10065,-20.4005019301,148.581640069,30012
10065,-20.4005019301,148.581640069,40001
10065,-20.400014816,148.581700841,40002
10065,-20.3991170208,148.581814462,40003
10065,-20.3993023762,148.583539973,40004
10065,-20.3994027747,148.58444076,40005
10065,-20.3994730042,148.585076574,40006
10065,-20.3994730042,148.585076574,50001
10065,-20.3995314098,148.5856018,50002
10065,-20.3996942397,148.587044919,50003
10065,-20.3974863611,148.587333582,50004
10065,-20.3962168965,148.587154642,50005
10065,-20.3951853009,148.586792017,50006
10065,-20.3944911993,148.5865479,50007
10065,-20.3942082019,148.586409672,50008
10065,-20.3937756536,148.58624033,50009
10065,-20.3935030026,148.586119019,50010
10065,-20.3930941294,148.585887806,50011
10065,-20.3926963666,148.585596992,50012
10065,-20.3925712748,148.585463824,50013
10065,-20.392389205,148.585536909,50014
10065,-20.3920248303,148.585815998,50015
10065,-20.3918085204,148.585925439,50016
10065,-20.3916115905,148.586052494,50017
10065,-20.3913199698,148.586143046,50018
10065,-20.3907523434,148.586264419,50019
10065,-20.3817040941,148.587619129,50020
10065,-20.3798736188,148.587929451,50021
10065,-20.3797821347,148.587948312,50022
10065,-20.379716603,148.587995118,50023
10065,-20.3796602208,148.588082776,50024
10065,-20.3796418715,148.588177,50025
10065,-20.3796638654,148.588297801,50026
10065,-20.3798091455,148.588872121,50027
10065,-20.3799707472,148.589699352,50028
10065,-20.3801151789,148.590525162,50029
10065,-20.3801634033,148.590898593,50030
10065,-20.3801847981,148.591245061,50031
10065,-20.3801896913,148.591687612,50032
10065,-20.380163008,148.592093774,50033
