trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
1047777-GOOGLE-AI_1-Weekday-00,05:55:00,05:55:00,710000,1,0,0
1047777-GOOGLE-AI_1-Weekday-00,05:55:00,05:55:00,710001,2,0,0
1047777-GOOGLE-AI_1-Weekday-00,05:58:00,05:58:00,710003,3,0,0
1047777-GOOGLE-AI_1-Weekday-00,05:58:00,05:58:00,710004,4,0,0
1047777-GOOGLE-AI_1-Weekday-00,05:59:00,05:59:00,710005,5,0,0
1047777-GOOGLE-AI_1-Weekday-00,06:00:00,06:00:00,710006,6,0,0
1047777-GOOGLE-AI_1-Weekday-00,06:01:00,06:01:00,710007,7,0,0
1047777-GOOGLE-AI_1-Weekday-00,06:03:00,06:03:00,710009,8,0,0
1047777-GOOGLE-AI_1-Weekday-00,06:05:00,06:05:00,710013,9,0,0
1047777-GOOGLE-AI_1-Weekday-00,06:05:00,06:05:00,710014,10,0,0
1047777-GOOGLE-AI_1-Weekday-00,06:09:00,06:09:00,710018,11,0,0
1047777-GOOGLE-AI_1-Weekday-00,06:11:00,06:11:00,710019,12,0,0
1047777-GOOGLE-AI_1-Weekday-00,06:14:00,06:14:00,710022,13,0,0
1047777-GOOGLE-AI_1-Weekday-00,06:15:00,06:15:00,710024,14,0,0
1047777-GOOGLE-AI_1-Weekday-00,06:18:00,06:18:00,710027,15,0,0
1047777-GOOGLE-AI_1-Weekday-00,06:25:00,06:25:00,710033,16,0,0
1047778-GOOGLE-AI_1-Weekday-00,05:55:00,05:55:00,710066,1,0,0
1047778-GOOGLE-AI_1-Weekday-00,05:55:00,05:55:00,710067,2,0,0
1047778-GOOGLE-AI_1-Weekday-00,05:57:00,05:57:00,710068,3,0,0
1047778-GOOGLE-AI_1-Weekday-00,05:59:00,05:59:00,710070,4,0,0
1047778-GOOGLE-AI_1-Weekday-00,05:59:00,05:59:00,710071,5,0,0
1047778-GOOGLE-AI_1-Weekday-00,06:02:00,06:02:00,710072,6,0,0
1047778-GOOGLE-AI_1-Weekday-00,06:03:00,06:03:00,710073,7,0,0
1047778-GOOGLE-AI_1-Weekday-00,06:05:00,06:05:00,710079,8,0,0
1047778-GOOGLE-AI_1-Weekday-00,06:09:00,06:09:00,710074,9,0,0
1047778-GOOGLE-AI_1-Weekday-00,06:11:00,06:11:00,710080,10,0,0
1047778-GOOGLE-AI_1-Weekday-00,06:11:00,06:11:00,710075,11,0,0
1047778-GOOGLE-AI_1-Weekday-00,,,710076,12,0,0
1047778-GOOGLE-AI_1-Weekday-00,,,710077,13,0,0
1047778-GOOGLE-AI_1-Weekday-00,,,710000,14,0,0
1047778-GOOGLE-AI_1-Weekday-00,,,710001,15,0,0
1047778-GOOGLE-AI_1-Weekday-00,06:16:00,06:16:00,710002,16,0,0
1047778-GOOGLE-AI_1-Weekday-00,06:19:00,06:19:00,710003,17,0,0
1047778-GOOGLE-AI_1-Weekday-00,06:19:00,06:19:00,710004,18,0,0
1047778-GOOGLE-AI_1-Weekday-00,06:20:00,06:20:00,710005,19,0,0
1047778-GOOGLE-AI_1-Weekday-00,06:21:00,06:21:00,710006,20,0,0
1047778-GOOGLE-AI_1-Weekday-00,06:22:00,06:22:00,710007,21,0,0
1047778-GOOGLE-AI_1-Weekday-00,06:24:00,06:24:00,710008,22,0,0
1047778-GOOGLE-AI_1-Weekday-00,06:26:00,06:26:00,710013,23,0,0
1047778-GOOGLE-AI_1-Weekday-00,06:27:00,06:27:00,710014,24,0,0
1047778-GOOGLE-AI_1-Weekday-00,06:30:00,06:30:00,710016,25,0,0
1047778-GOOGLE-AI_1-Weekday-00,06:30:00,06:30:00,710015,26,0,0
1047778-GOOGLE-AI_1-Weekday-00,06:32:00,06:32:00,710017,27,0,0
1047778-GOOGLE-AI_1-Weekday-00,06:33:00,06:33:00,710018,28,0,0
1047778-GOOGLE-AI_1-Weekday-00,06:35:00,06:35:00,710019,29,0,0
1047778-GOOGLE-AI_1-Weekday-00,06:37:00,06:37:00,710022,30,0,0
1047778-GOOGLE-AI_1-Weekday-00,06:38:00,06:38:00,710024,31,0,0
1047778-GOOGLE-AI_1-Weekday-00,06:40:00,06:40:00,710027,32,0,0
1047778-GOOGLE-AI_1-Weekday-00,06:47:00,06:47:00,710033,33,0,0
1047779-GOOGLE-AI_1-Weekday-00,06:55:00,06:55:00,710003,1,0,0
1047779-GOOGLE-AI_1-Weekday-00,06:55:00,06:55:00,710004,2,0,0
1047779-GOOGLE-AI_1-Weekday-00,06:56:00,06:56:00,710005,3,0,0
1047779-GOOGLE-AI_1-Weekday-00,06:57:00,06:57:00,710006,4,0,0
