route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
1-39,GOOGLE-AI_1-Weekday-00,1047777-GOOGLE-AI_1-Weekday-00,"Shute Harbour via Airlie Beach",0,255762,10067
1-39,GOOGLE-AI_1-Weekday-00,1047778-GOOGLE-AI_1-Weekday-00,"Shute Harbour via Airlie Beach",0,255763,10065
1-39,GOOGLE-AI_1-Weekday-00,1047779-GOOGLE-AI_1-Weekday-00,"Shute Harbour via Airlie Beach",0,255766,10111
1-39,GOOGLE-AI_1-Weekday-00,1047780-GOOGLE-AI_1-Weekday-00,"Shute Harbour via Airlie Beach",0,255767,10072
1-39,GOOGLE-AI_1-Weekday-00,1047781-GOOGLE-AI_1-Weekday-00,"Shute Harbour via Airlie Beach",0,255763,10066
1-39,GOOGLE-AI_1-Weekday-00,1047782-GOOGLE-AI_1-Weekday-00,"Shute Harbour via Airlie Beach",0,255768,10106
1-39,GOOGLE-AI_1-Weekday-00,1047783-GOOGLE-AI_1-Weekday-00,"Shute Harbour via Airlie Beach",0,255766,10066
1-39,GOOGLE-AI_1-Weekday-00,1047784-GOOGLE-AI_1-Weekday-00,"Shute Harbour via Airlie Beach",0,255763,10073
1-39,GOOGLE-AI_1-Weekday-00,1047785-GOOGLE-AI_1-Weekday-00,"Shute Harbour via Airlie Beach",0,255769,10112
1-39,GOOGLE-AI_1-Weekday-00,1047786-GOOGLE-AI_1-Weekday-00,"Shute Harbour via Airlie Beach",0,255769,10073
1-39,GOOGLE-AI_1-Weekday-00,1047787-GOOGLE-AI_1-Weekday-00,"Shute Harbour via Airlie Beach",0,255766,10073
1-39,GOOGLE-AI_1-Weekday-00,1047788-GOOGLE-AI_1-Weekday-00,"Shute Harbour via Airlie Beach",0,255763,10072
1-39,GOOGLE-AI_1-Weekday-00,1047789-GOOGLE-AI_1-Weekday-00,"Shute Harbour via Airlie Beach",0,255769,10066
1-39,GOOGLE-AI_1-Weekday-00,1047790-GOOGLE-AI_1-Weekday-00,"Shute Harbour via Airlie Beach",0,255763,10073
