shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
BWN10002,-20.0129421084,148.246743818,10001
BWN10002,-20.012129696,148.246227635,10002
BWN10002,-20.0109899199,148.245502961,10003
BWN10002,-20.0098528702,148.244779167,10004
BWN10002,-20.0087158452,148.244056335,10005
BWN10002,-20.0077723199,148.243457358,10006
BWN10002,-20.0076930275,148.243391096,10007
BWN10002,-20.0076932358,148.243365345,10008
BWN10002,-20.0076870121,148.243335021,10009
BWN10002,-20.0076745103,148.24330584,10010
BWN10002,-20.0076567078,148.243280632,10011
BWN10002,-20.0076363318,148.243260269,10012
BWN10002,-20.0076253202,148.243252973,10013
BWN10002,-20.0086776183,148.241397251,10014
BWN10002,-20.0075343612,148.240644127,10015
BWN10002,-20.0075343612,148.240644127,20001
BWN10002,-20.0086776183,148.241397251,20002
BWN10002,-20.0076803907,148.243155966,20003
BWN10002,-20.0076803907,148.243155966,30001
BWN10002,-20.0076253202,148.243252973,30002
BWN10002,-20.0076097547,148.243243907,30003
BWN10002,-20.0075815815,148.243235221,30004
BWN10002,-20.0075526617,148.243232278,30005
BWN10002,-20.0075238958,148.243235051,30006
BWN10002,-20.0074962098,148.243244467,30007
BWN10002,-20.0074811314,148.243253502,30008
BWN10002,-20.007301033,148.243158811,30009
BWN10002,-20.0062979717,148.242524452,30010
BWN10002,-20.0057091332,148.242144592,30011
BWN10002,-20.0052745594,148.24187069,30012
BWN10002,-20.0052745594,148.24187069,40001
BWN10002,-20.0047501429,148.241540381,40002
BWN10002,-20.003848165,148.240978317,40003
BWN10002,-20.0049528633,148.239027616,40004
BWN10002,-20.0047382638,148.238890113,40005
BWN10002,-20.0047382638,148.238890113,50001
BWN10002,-20.0038267106,148.238307378,50002
BWN10002,-20.0031586764,148.237865093,50003
BWN10002,-20.0028921303,148.237706276,50004
BWN10002,-20.0028921303,148.237706276,60001
BWN10002,-20.0023571856,148.237386791,60002
BWN10002,-20.0018941527,148.237093742,60003
BWN10002,-20.0018941527,148.237093742,70001
BWN10002,-20.0015759703,148.236891672,70002
BWN10002,-20.0008983371,148.236461129,70003
BWN10002,-20.0013786406,148.2384994,70004
BWN10002,-20.0014381709,148.238601531,70005
BWN10002,-20.0014381709,148.238601531,80001
BWN10002,-20.0020307185,148.239621019,80002
BWN10002,-20.0022778117,148.240095063,80003
BWN10002,-20.0024065687,148.240324778,80004
BWN10002,-20.0010752644,148.242094433,80005
BWN10002,-20.0006819464,148.242516258,80006
BWN10002,-19.9996471845,148.242713316,80007
BWN10002,-19.9958421197,148.2430853,80008
BWN10002,-19.9943762852,148.243239065,80009
BWN10002,-19.9934372625,148.243410338,80010
BWN10002,-19.9927851811,148.242856975,80011
BWN10002,-19.9927851811,148.242856975,90001
BWN10002,-19.9920353609,148.242221706,90002
BWN10002,-19.9920353609,148.242221706,100001
BWN10002,-19.9919099149,148.242114889,100002
BWN10002,-19.991782405,148.240825937,100003
BWN10002,-19.991782405,148.240825937,110001
BWN10002,-19.9916707724,148.239691913,110002
BWN10002,-19.9916707724,148.239691913,120001
BWN10002,-19.991587718,148.238849718,120002
BWN10002,-19.9913883788,148.236868882,120003
BWN10002,-19.9913883788,148.236868882,130001
BWN10002,-19.9913577842,148.23656949,130002
BWN10002,-19.9895696757,148.236770194,130003
BWN10002,-19.9893647903,148.236792574,130004
BWN10002,-19.9893647903,148.236792574,140001
BWN10002,-19.9884572531,148.236894282,140002
BWN10002,-19.9867772063,148.237091715,140003
BWN10002,-19.9862724886,148.237191768,140004
BWN10002,-19.9865465155,148.236490429,140005
BWN10002,-19.9865465155,148.236490429,150001
BWN10002,-19.9866898071,148.236121933,150002
BWN10002,-19.9844914816,148.235212908,150003
BWN10002,-19.9843008847,148.235129991,150004
BWN10002,-19.9843008847,148.235129991,160001
BWN10002,-19.9836570799,148.234851,160002
BWN10002,-19.9830174061,148.233320172,160003
BWN10002,-19.9820088828,148.23382151,160004
BWN10002,-19.9817611757,148.23325794,160005
BWN10002,-19.9817611757,148.23325794,170001
BWN10002,-19.9810775234,148.231700818,170002
BWN10002,-19.9810506658,148.231640616,170003
BWN10002,-19.9810506658,148.231640616,180001
BWN10002,-19.9804466242,148.230262237,180002
BWN10002,-19.9803816635,148.230159333,180003
BWN10002,-19.9803869897,148.230156312,180004
BWN10002,-19.9804133635,148.230131684,180005
BWN10002,-19.9804333052,148.230102484,180006
BWN10002,-19.9804467892,148.230067758,180007
BWN10002,-19.9804548444,148.230032243,180008
BWN10002,-19.9804547435,148.229995067,180009
BWN10002,-19.9804465379,148.229958136,180010
BWN10002,-19.9804330061,148.229924225,180011
BWN10002,-19.9804132734,148.229894315,180012
BWN10002,-19.9803864906,148.229870336,180013
BWN10002,-19.9803571346,148.229851202,180014
BWN10002,-19.9803234813,148.229839825,180015
BWN10002,-19.980289133,148.229836094,180016
BWN10002,-19.9802585665,148.229838923,180017
BWN10002,-19.9802210527,148.229851494,180018
BWN10002,-19.9801909227,148.229870515,180019
BWN10002,-19.9801654238,148.229894164,180020
BWN10002,-19.9801472318,148.229921405,180021
BWN10002,-19.9801446072,148.229924344,180022
BWN10002,-19.9801310975,148.229958117,180023
BWN10002,-19.9801230424,148.229993632,180024
BWN10002,-19.9801231689,148.23003176,180025
BWN10002,-19.9801313488,148.230067739,180026
BWN10002,-19.9801448806,148.23010165,180027
BWN10002,-19.9801646389,148.230132513,180028
BWN10002,-19.9801969276,148.230160138,180029
BWN10002,-19.9796686835,148.230992094,180030
BWN10002,-19.9780176508,148.229891255,180031
BWN10002,-19.9780176508,148.229891255,190001
BWN10002,-19.9779781836,148.2298648,190002
BWN10002,-19.9766769244,148.229001285,190003
BWN10002,-19.9766769244,148.229001285,200001
BWN10002,-19.9762850567,148.228740467,200002
BWN10002,-19.974271173,148.227385609,200003
BWN10002,-19.974271173,148.227385609,210001
BWN10002,-19.9740040613,148.227205874,210002
BWN10002,-19.9740408095,148.227599416,210003
BWN10002,-19.9726305583,148.226738271,210004
BWN10002,-19.9723023925,148.22653369,210005
