trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
498916-GOOGLE-BWN_MULT-Weekday-00,10:20:00,10:20:00,720009,1,0,0
498916-GOOGLE-BWN_MULT-Weekday-00,10:22:00,10:22:00,720010,2,0,0
498916-GOOGLE-BWN_MULT-Weekday-00,10:22:00,10:22:00,720011,3,0,0
498916-GOOGLE-BWN_MULT-Weekday-00,10:22:00,10:22:00,720012,4,0,0
498916-GOOGLE-BWN_MULT-Weekday-00,10:23:00,10:23:00,720013,5,0,0
498916-GOOGLE-BWN_MULT-Weekday-00,10:23:00,10:23:00,720014,6,0,0
498916-GOOGLE-BWN_MULT-Weekday-00,10:23:00,10:23:00,720015,7,0,0
498916-GOOGLE-BWN_MULT-Weekday-00,10:24:00,10:24:00,720016,8,0,0
498916-GOOGLE-BWN_MULT-Weekday-00,10:24:00,10:24:00,720046,9,0,0
498916-GOOGLE-BWN_MULT-Weekday-00,10:25:00,10:25:00,720047,10,0,0
498916-GOOGLE-BWN_MULT-Weekday-00,10:26:00,10:26:00,720064,11,0,0
498916-GOOGLE-BWN_MULT-Weekday-00,10:27:00,10:27:00,720065,12,0,0
498916-GOOGLE-BWN_MULT-Weekday-00,10:27:00,10:27:00,720066,13,0,0
498916-GOOGLE-BWN_MULT-Weekday-00,10:27:00,10:27:00,720067,14,0,0
498916-GOOGLE-BWN_MULT-Weekday-00,10:27:00,10:27:00,720068,15,0,0
498916-GOOGLE-BWN_MULT-Weekday-00,10:28:00,10:28:00,720069,16,0,0
498916-GOOGLE-BWN_MULT-Weekday-00,10:28:00,10:28:00,720070,17,0,0
498916-GOOGLE-BWN_MULT-Weekday-00,10:29:00,10:29:00,720071,18,0,0
498916-GOOGLE-BWN_MULT-Weekday-00,10:29:00,10:29:00,720072,19,0,0
498916-GOOGLE-BWN_MULT-Weekday-00,10:30:00,10:30:00,720073,20,0,0
498916-GOOGLE-BWN_MULT-Weekday-00,10:30:00,10:30:00,720074,21,0,0
498916-GOOGLE-BWN_MULT-Weekday-00,10:31:00,10:31:00,720075,22,0,0
498916-GOOGLE-BWN_MULT-Weekday-00,10:31:00,10:31:00,720076,23,0,0
498916-GOOGLE-BWN_MULT-Weekday-00,10:31:00,10:31:00,720077,24,0,0
498916-GOOGLE-BWN_MULT-Weekday-00,10:31:00,10:31:00,720078,25,0,0
498916-GOOGLE-BWN_MULT-Weekday-00,10:32:00,10:32:00,720079,26,0,0
498916-GOOGLE-BWN_MULT-Weekday-00,10:32:00,10:32:00,720080,27,0,0
498916-GOOGLE-BWN_MULT-Weekday-00,10:32:00,10:32:00,720081,28,0,0
498916-GOOGLE-BWN_MULT-Weekday-00,10:32:00,10:32:00,720082,29,0,0
498916-GOOGLE-BWN_MULT-Weekday-00,10:33:00,10:33:00,720083,30,0,0
498916-GOOGLE-BWN_MULT-Weekday-00,10:33:00,10:33:00,720084,31,0,0
498916-GOOGLE-BWN_MULT-Weekday-00,10:34:00,10:34:00,720006,32,0,0
498916-GOOGLE-BWN_MULT-Weekday-00,10:35:00,10:35:00,720085,33,0,0
498916-GOOGLE-BWN_MULT-Weekday-00,10:37:00,10:37:00,720007,34,0,0
498916-GOOGLE-BWN_MULT-Weekday-00,10:37:00,10:37:00,720000,35,0,0
498916-GOOGLE-BWN_MULT-Weekday-00,10:38:00,10:38:00,720009,36,0,0
498917-GOOGLE-BWN_MULT-Weekday-00,12:20:00,12:20:00,720009,1,0,0
498917-GOOGLE-BWN_MULT-Weekday-00,12:22:00,12:22:00,720010,2,0,0
498917-GOOGLE-BWN_MULT-Weekday-00,12:22:00,12:22:00,720011,3,0,0
498917-GOOGLE-BWN_MULT-Weekday-00,12:22:00,12:22:00,720012,4,0,0
498917-GOOGLE-BWN_MULT-Weekday-00,12:23:00,12:23:00,720013,5,0,0
498917-GOOGLE-BWN_MULT-Weekday-00,12:23:00,12:23:00,720014,6,0,0
498917-GOOGLE-BWN_MULT-Weekday-00,12:23:00,12:23:00,720015,7,0,0
498917-GOOGLE-BWN_MULT-Weekday-00,12:24:00,12:24:00,720016,8,0,0
498917-GOOGLE-BWN_MULT-Weekday-00,12:24:00,12:24:00,720046,9,0,0
498917-GOOGLE-BWN_MULT-Weekday-00,12:25:00,12:25:00,720047,10,0,0
498917-GOOGLE-BWN_MULT-Weekday-00,12:26:00,12:26:00,720064,11,0,0
498917-GOOGLE-BWN_MULT-Weekday-00,12:27:00,12:27:00,720065,12,0,0
498917-GOOGLE-BWN_MULT-Weekday-00,12:27:00,12:27:00,720066,13,0,0
498917-GOOGLE-BWN_MULT-Weekday-00,12:27:00,12:27:00,720067,14,0,0
498917-GOOGLE-BWN_MULT-Weekday-00,12:27:00,12:27:00,720068,15,0,0
498917-GOOGLE-BWN_MULT-Weekday-00,12:28:00,12:28:00,720069,16,0,0
498917-GOOGLE-BWN_MULT-Weekday-00,12:28:00,12:28:00,720070,17,0,0
498917-GOOGLE-BWN_MULT-Weekday-00,12:29:00,12:29:00,720071,18,0,0
498917-GOOGLE-BWN_MULT-Weekday-00,12:29:00,12:29:00,720072,19,0,0
498917-GOOGLE-BWN_MULT-Weekday-00,12:30:00,12:30:00,720073,20,0,0
498917-GOOGLE-BWN_MULT-Weekday-00,12:30:00,12:30:00,720074,21,0,0
498917-GOOGLE-BWN_MULT-Weekday-00,12:31:00,12:31:00,720075,22,0,0
498917-GOOGLE-BWN_MULT-Weekday-00,12:31:00,12:31:00,720076,23,0,0
498917-GOOGLE-BWN_MULT-Weekday-00,12:31:00,12:31:00,720077,24,0,0
498917-GOOGLE-BWN_MULT-Weekday-00,12:31:00,12:31:00,720078,25,0,0
498917-GOOGLE-BWN_MULT-Weekday-00,12:32:00,12:32:00,720079,26,0,0
498917-GOOGLE-BWN_MULT-Weekday-00,12:32:00,12:32:00,720080,27,0,0
