trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
498754-GOOGLE-BUND_MUL-Weekday-03,14:00:00,14:00:00,730001,1,0,0
498754-GOOGLE-BUND_MUL-Weekday-03,14:00:00,14:00:00,730002,2,0,0
498754-GOOGLE-BUND_MUL-Weekday-03,14:00:00,14:00:00,730003,3,0,0
498754-GOOGLE-BUND_MUL-Weekday-03,14:01:00,14:01:00,730182,4,0,0
498754-GOOGLE-BUND_MUL-Weekday-03,14:03:00,14:03:00,730122,5,0,0
498754-GOOGLE-BUND_MUL-Weekday-03,14:04:00,14:04:00,730167,6,0,0
498754-GOOGLE-BUND_MUL-Weekday-03,14:20:00,14:20:00,730152,7,0,0
498754-GOOGLE-BUND_MUL-Weekday-03,14:21:00,14:21:00,730168,8,0,0
498754-GOOGLE-BUND_MUL-Weekday-03,14:24:00,14:24:00,730169,9,0,0
498754-GOOGLE-BUND_MUL-Weekday-03,14:30:00,14:30:00,730170,10,0,0
498754-GOOGLE-BUND_MUL-Weekday-03,14:33:00,14:33:00,730153,11,0,0
498754-GOOGLE-BUND_MUL-Weekday-03,14:35:00,14:35:00,730154,12,0,0
498754-GOOGLE-BUND_MUL-Weekday-03,14:48:00,14:48:00,730155,13,0,0
498754-GOOGLE-BUND_MUL-Weekday-03,14:52:00,14:52:00,730157,14,0,0
498754-GOOGLE-BUND_MUL-Weekday-03,14:55:00,14:55:00,730156,15,0,0
498754-GOOGLE-BUND_MUL-Weekday-03,15:00:00,15:00:00,730190,16,0,0
498754-GOOGLE-BUND_MUL-Weekday-03,15:03:00,15:03:00,730062,17,0,0
498754-GOOGLE-BUND_MUL-Weekday-03,15:04:00,15:04:00,730063,18,0,0
498754-GOOGLE-BUND_MUL-Weekday-03,15:05:00,15:05:00,730064,19,0,0
498755-GOOGLE-BUND_MUL-Weekday-03,07:40:00,07:40:00,730001,1,0,0
498755-GOOGLE-BUND_MUL-Weekday-03,07:40:00,07:40:00,730002,2,0,0
498755-GOOGLE-BUND_MUL-Weekday-03,07:40:00,07:40:00,730003,3,0,0
498755-GOOGLE-BUND_MUL-Weekday-03,07:41:00,07:41:00,730182,4,0,0
498755-GOOGLE-BUND_MUL-Weekday-03,07:43:00,07:43:00,730122,5,0,0
498755-GOOGLE-BUND_MUL-Weekday-03,07:44:00,07:44:00,730167,6,0,0
498755-GOOGLE-BUND_MUL-Weekday-03,08:00:00,08:00:00,730152,7,0,0
498755-GOOGLE-BUND_MUL-Weekday-03,08:01:00,08:01:00,730168,8,0,0
498755-GOOGLE-BUND_MUL-Weekday-03,08:04:00,08:04:00,730169,9,0,0
498755-GOOGLE-BUND_MUL-Weekday-03,08:10:00,08:10:00,730170,10,0,0
498755-GOOGLE-BUND_MUL-Weekday-03,08:13:00,08:13:00,730153,11,0,0
498755-GOOGLE-BUND_MUL-Weekday-03,08:15:00,08:15:00,730154,12,0,0
498755-GOOGLE-BUND_MUL-Weekday-03,08:28:00,08:28:00,730155,13,0,0
498755-GOOGLE-BUND_MUL-Weekday-03,08:32:00,08:32:00,730157,14,0,0
498755-GOOGLE-BUND_MUL-Weekday-03,08:35:00,08:35:00,730156,15,0,0
498755-GOOGLE-BUND_MUL-Weekday-03,08:40:00,08:40:00,730190,16,0,0
498755-GOOGLE-BUND_MUL-Weekday-03,08:43:00,08:43:00,730062,17,0,0
498755-GOOGLE-BUND_MUL-Weekday-03,08:44:00,08:44:00,730063,18,0,0
498755-GOOGLE-BUND_MUL-Weekday-03,08:45:00,08:45:00,730064,19,0,0
498756-GOOGLE-BUND_MUL-Weekday-03,12:15:00,12:15:00,730001,1,0,0
498756-GOOGLE-BUND_MUL-Weekday-03,12:15:00,12:15:00,730002,2,0,0
498756-GOOGLE-BUND_MUL-Weekday-03,12:15:00,12:15:00,730003,3,0,0
498756-GOOGLE-BUND_MUL-Weekday-03,12:16:00,12:16:00,730005,4,0,0
498756-GOOGLE-BUND_MUL-Weekday-03,12:17:00,12:17:00,730006,5,0,0
498756-GOOGLE-BUND_MUL-Weekday-03,12:20:00,12:20:00,730146,6,0,0
498756-GOOGLE-BUND_MUL-Weekday-03,12:23:00,12:23:00,730173,7,0,0
498756-GOOGLE-BUND_MUL-Weekday-03,12:35:00,12:35:00,730175,8,0,0
498756-GOOGLE-BUND_MUL-Weekday-03,12:38:00,12:38:00,730147,9,0,0
498756-GOOGLE-BUND_MUL-Weekday-03,12:43:00,12:43:00,730176,10,0,0
498756-GOOGLE-BUND_MUL-Weekday-03,12:43:00,12:43:00,730148,11,0,0
498756-GOOGLE-BUND_MUL-Weekday-03,12:45:00,12:45:00,730178,12,0,0
498756-GOOGLE-BUND_MUL-Weekday-03,12:53:00,12:53:00,730179,13,0,0
498756-GOOGLE-BUND_MUL-Weekday-03,12:55:00,12:55:00,730180,14,0,0
498756-GOOGLE-BUND_MUL-Weekday-03,12:57:00,12:57:00,730149,15,0,0
498756-GOOGLE-BUND_MUL-Weekday-03,13:00:00,13:00:00,730150,16,0,0
498756-GOOGLE-BUND_MUL-Weekday-03,13:05:00,13:05:00,730151,17,0,0
498756-GOOGLE-BUND_MUL-Weekday-03,13:22:00,13:22:00,730060,18,0,0
498756-GOOGLE-BUND_MUL-Weekday-03,13:24:00,13:24:00,730061,19,0,0
498756-GOOGLE-BUND_MUL-Weekday-03,13:27:00,13:27:00,730062,20,0,0
498756-GOOGLE-BUND_MUL-Weekday-03,13:28:00,13:28:00,730063,21,0,0
498756-GOOGLE-BUND_MUL-Weekday-03,13:30:00,13:30:00,730064,22,0,0
498757-GOOGLE-BUND_MUL-Weekday-03,15:10:00,15:10:00,730001,1,0,0
498757-GOOGLE-BUND_MUL-Weekday-03,15:10:00,15:10:00,730002,2,0,0
