route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
S2-11,GOOGLE-BUND_MUL-Weekday-03,498754-GOOGLE-BUND_MUL-Weekday-03,"Moore Park",0,283502,S20007
S2-11,GOOGLE-BUND_MUL-Weekday-03,498755-GOOGLE-BUND_MUL-Weekday-03,"Moore Park",0,283507,S20007
S1-11,GOOGLE-BUND_MUL-Weekday-03,498756-GOOGLE-BUND_MUL-Weekday-03,"Eliott Heads",0,283508,S10008
S1-11,GOOGLE-BUND_MUL-Weekday-03,498757-GOOGLE-BUND_MUL-Weekday-03,"Eliott Heads",0,283504,S10009
S1-11,GOOGLE-BUND_MUL-Weekday-03,498758-GOOGLE-BUND_MUL-Weekday-03,"Eliott Heads",0,283508,S10008
1-11,GOOGLE-BUND_MUL-Weekday-03,1116014-GOOGLE-BUND_MUL-Weekday-03,"Avenell Heights",0,283512,10049
1-11,GOOGLE-BUND_MUL-Weekday-03,1116015-GOOGLE-BUND_MUL-Weekday-03,"Avenell Heights",0,283508,10049
1-11,GOOGLE-BUND_MUL-Weekday-03,1116016-GOOGLE-BUND_MUL-Weekday-03,"Avenell Heights",0,283504,10049
1-11,GOOGLE-BUND_MUL-Weekday-03,1116017-GOOGLE-BUND_MUL-Weekday-03,"Avenell Heights",0,283502,10049
1-11,GOOGLE-BUND_MUL-Weekday-03,1116018-GOOGLE-BUND_MUL-Weekday-03,"Avenell Heights",0,283513,10049
1-11,GOOGLE-BUND_MUL-Weekday-03,1116019-GOOGLE-BUND_MUL-Weekday-03,"Avenell Heights",0,283513,10049
1-11,GOOGLE-BUND_MUL-Weekday-03,1116020-GOOGLE-BUND_MUL-Weekday-03,"Avenell Heights",0,283503,10049
1A-11,GOOGLE-BUND_MUL-Weekday-03,1116026-GOOGLE-BUND_MUL-Weekday-03,"Sugarland",0,283507,1A0007
1A-11,GOOGLE-BUND_MUL-Weekday-03,1116027-GOOGLE-BUND_MUL-Weekday-03,"Sugarland",0,283507,1A0007
