shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1100008,-16.746310,145.664847,10001
1100008,-16.744308,145.667393,10002
1100008,-16.743632,145.668255,10003
1100008,-16.743632,145.668255,20001
1100008,-16.743522,145.668394,20002
1100008,-16.741258,145.671277,20003
1100008,-16.744007,145.671074,20004
1100008,-16.744015,145.671074,20005
1100008,-16.744015,145.671074,30001
1100008,-16.744732,145.671060,30002
1100008,-16.747083,145.670999,30003
1100008,-16.749574,145.671118,30004
1100008,-16.749645,145.669650,30005
1100008,-16.749381,145.668625,30006
1100008,-16.749351,145.668536,30007
1100008,-16.749206,145.667907,30008
1100008,-16.749206,145.667907,40001
1100008,-16.749159,145.667705,40002
1100008,-16.749084,145.667483,40003
1100008,-16.748589,145.665470,40004
1100008,-16.748260,145.664198,40005
1100008,-16.748130,145.663698,40006
1100008,-16.748130,145.663698,50001
1100008,-16.747910,145.662848,50002
1100008,-16.749199,145.662529,50003
1100008,-16.751266,145.662112,50004
1100008,-16.751911,145.662065,50005
1100008,-16.752660,145.661993,50006
1100008,-16.753497,145.662026,50007
1100008,-16.754648,145.662111,50008
1100008,-16.755595,145.662313,50009
1100008,-16.756690,145.662620,50010
1100008,-16.757992,145.663112,50011
1100008,-16.757992,145.663112,60001
1100008,-16.758300,145.663227,60002
1100008,-16.758938,145.663571,60003
1100008,-16.760286,145.664473,60004
1100008,-16.763100,145.666614,60005
1100008,-16.764391,145.667536,60006
1100008,-16.764076,145.667933,60007
1100008,-16.764076,145.667933,70001
1100008,-16.763968,145.668068,70002
1100008,-16.762864,145.669459,70003
1100008,-16.762864,145.669459,80001
1100008,-16.762682,145.669686,80002
1100008,-16.762358,145.670087,80003
1100008,-16.761619,145.670997,80004
1100008,-16.761557,145.671106,80005
1100008,-16.761460,145.671292,80006
1100008,-16.761425,145.671460,80007
1100008,-16.761400,145.671701,80008
1100008,-16.761404,145.671924,80009
1100008,-16.761433,145.672248,80010
1100008,-16.761479,145.672799,80011
1100008,-16.761480,145.672813,80012
1100008,-16.761480,145.672813,90001
1100008,-16.761494,145.673191,90002
1100008,-16.762221,145.673189,90003
1100008,-16.763571,145.673941,90004
1100008,-16.764100,145.674229,90005
1100008,-16.764428,145.674406,90006
1100008,-16.764045,145.675229,90007
1100008,-16.764359,145.675398,90008
1100008,-16.764359,145.675398,100001
1100008,-16.767395,145.677021,100002
1100008,-16.767395,145.677021,110001
1100008,-16.767760,145.677216,110002
1100008,-16.768268,145.676360,110003
1100008,-16.768559,145.675903,110004
1100008,-16.768729,145.675636,110005
1100008,-16.768954,145.675422,110006
1100008,-16.768954,145.675422,120001
1100008,-16.769192,145.675193,120002
1100008,-16.770943,145.674978,120003
1100008,-16.771828,145.674646,120004
1100008,-16.771828,145.674646,130001
1100008,-16.771838,145.674640,130002
1100008,-16.772440,145.673908,130003
1100008,-16.772954,145.674278,130004
1100008,-16.773507,145.674582,130005
1100008,-16.773974,145.674781,130006
1100008,-16.774523,145.674956,130007
1100008,-16.774986,145.675067,130008
1100008,-16.775583,145.675108,130009
1100008,-16.775583,145.675108,140001
1100008,-16.775614,145.675108,140002
1100008,-16.776093,145.675111,140003
1100008,-16.776385,145.675078,140004
1100008,-16.777093,145.675008,140005
1100008,-16.782005,145.673431,140006
1100008,-16.782672,145.673302,140007
1100008,-16.783103,145.673287,140008
1100008,-16.783639,145.673287,140009
1100008,-16.784325,145.673378,140010
1100008,-16.784953,145.673508,140011
1100008,-16.785525,145.673807,140012
1100008,-16.786105,145.674128,140013
1100008,-16.786618,145.674459,140014
1100008,-16.787966,145.675755,140015
1100008,-16.788431,145.676206,140016
1100008,-16.789077,145.676681,140017
1100008,-16.790473,145.677475,140018
1100008,-16.790788,145.677658,140019
1100008,-16.792215,145.678795,140020
1100008,-16.792215,145.678838,140021
1100008,-16.792237,145.678943,140022
1100008,-16.792278,145.679041,140023
1100008,-16.792339,145.679129,140024
1100008,-16.792386,145.679173,140025
1100008,-16.792415,145.679200,140026
1100008,-16.792505,145.679254,140027
1100008,-16.792603,145.679287,140028
1100008,-16.792705,145.679299,140029
1100008,-16.792807,145.679287,140030
1100008,-16.792890,145.679259,140031
1100008,-16.793585,145.679542,140032
1100008,-16.794389,145.680244,140033
1100008,-16.794725,145.680726,140034
1100008,-16.794725,145.680726,150001
1100008,-16.796321,145.683010,150002
1100008,-16.798287,145.685726,150003
1100008,-16.799008,145.686423,150004
1100008,-16.798988,145.686470,150005
1100008,-16.798974,145.686539,150006
1100008,-16.798974,145.686581,150007
1100008,-16.798974,145.686609,150008
1100008,-16.798988,145.686678,150009
1100008,-16.799015,145.686742,150010
1100008,-16.799055,145.686798,150011
1100008,-16.799104,145.686845,150012
1100008,-16.799125,145.686858,150013
1100008,-16.799162,145.686880,150014
1100008,-16.799226,145.686902,150015
1100008,-16.799293,145.686909,150016
1100008,-16.799360,145.686902,150017
1100008,-16.799421,145.686884,150018
1100008,-16.799780,145.687164,150019
1100008,-16.800186,145.687400,150020
1100008,-16.804716,145.690126,150021
1100008,-16.805056,145.690356,150022
1100008,-16.805710,145.690746,150023
1100008,-16.805710,145.690746,160001
1100008,-16.807391,145.691746,160002
1100008,-16.808309,145.692289,160003
1100008,-16.809122,145.692653,160004
1100008,-16.809856,145.692949,160005
1100008,-16.810181,145.693038,160006
1100008,-16.810495,145.693077,160007
1100008,-16.810642,145.693081,160008
1100008,-16.810761,145.693147,160009
1100008,-16.810887,145.693241,160010
1100008,-16.810948,145.693315,160011
1100008,-16.811021,145.693371,160012
1100008,-16.811088,145.693419,160013
1100008,-16.811155,145.693447,160014
