route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
110-275,GOOGLE-CAIR_MUL-Weekday-02,2662832-GOOGLE-CAIR_MUL-Weekday-02,Palm Cove to City,0,509148,1100008
110-275,GOOGLE-CAIR_MUL-Weekday-02,2662833-GOOGLE-CAIR_MUL-Weekday-02,Palm Cove to City,0,509149,1100008
110-275,GOOGLE-CAIR_MUL-Weekday-02,2662834-GOOGLE-CAIR_MUL-Weekday-02,Palm Cove to City,0,509150,1100008
110-275,GOOGLE-CAIR_MUL-Weekday-02,2662835-GOOGLE-CAIR_MUL-Weekday-02,Palm Cove to City,0,509151,1100008
110-275,GOOGLE-CAIR_MUL-Weekday-02,2662836-GOOGLE-CAIR_MUL-Weekday-02,Palm Cove to City,0,509152,1100008
110-275,GOOGLE-CAIR_MUL-Weekday-02,2662837-GOOGLE-CAIR_MUL-Weekday-02,Palm Cove to City,0,509148,1100008
110-275,GOOGLE-CAIR_MUL-Weekday-02,2662838-GOOGLE-CAIR_MUL-Weekday-02,Palm Cove to City,0,509149,1100008
110-275,GOOGLE-CAIR_MUL-Weekday-02,2662839-GOOGLE-CAIR_MUL-Weekday-02,Palm Cove to City,0,509150,1100008
110-275,GOOGLE-CAIR_MUL-Weekday-02,2662840-GOOGLE-CAIR_MUL-Weekday-02,Palm Cove to City,0,509151,1100008
110-275,GOOGLE-CAIR_MUL-Weekday-02,2662841-GOOGLE-CAIR_MUL-Weekday-02,Palm Cove to City,0,509152,1100008
110-275,GOOGLE-CAIR_MUL-Weekday-02,2662842-GOOGLE-CAIR_MUL-Weekday-02,Palm Cove to City,0,509148,1100008
110-275,GOOGLE-CAIR_MUL-Weekday-02,2662843-GOOGLE-CAIR_MUL-Weekday-02,Palm Cove to City,0,509149,1100008
110-275,GOOGLE-CAIR_MUL-Weekday-02,2662844-GOOGLE-CAIR_MUL-Weekday-02,Palm Cove to City,0,509150,1100008
110-275,GOOGLE-CAIR_MUL-Weekday-02,2662845-GOOGLE-CAIR_MUL-Weekday-02,Palm Cove to City,0,509151,1100008
110-275,GOOGLE-CAIR_MUL-Weekday-02,2662846-GOOGLE-CAIR_MUL-Weekday-02,Palm Cove to City,0,509152,1100008
110-275,GOOGLE-CAIR_MUL-Weekday-02,2662847-GOOGLE-CAIR_MUL-Weekday-02,Palm Cove to City,0,509148,1100008
110-275,GOOGLE-CAIR_MUL-Weekday-02,2662848-GOOGLE-CAIR_MUL-Weekday-02,Palm Cove to City,0,509149,1100008
110-275,GOOGLE-CAIR_MUL-Weekday-02,2662849-GOOGLE-CAIR_MUL-Weekday-02,Palm Cove to City,0,509150,1100008
110-275,GOOGLE-CAIR_MUL-Weekday-02,2662850-GOOGLE-CAIR_MUL-Weekday-02,Palm Cove to City,0,509151,1100008
110-275,GOOGLE-CAIR_MUL-Weekday-02,2662851-GOOGLE-CAIR_MUL-Weekday-02,Palm Cove to City,0,509152,1100008
110-275,GOOGLE-CAIR_MUL-Weekday-02,2662852-GOOGLE-CAIR_MUL-Weekday-02,Palm Cove to City,0,509148,1100008
110-275,GOOGLE-CAIR_MUL-Weekday-02,2662853-GOOGLE-CAIR_MUL-Weekday-02,Palm Cove to City,0,509149,1100008
110-275,GOOGLE-CAIR_MUL-Weekday-02,2662854-GOOGLE-CAIR_MUL-Weekday-02,Palm Cove to City,0,509150,1100008
110-275,GOOGLE-CAIR_MUL-Weekday-02,2662855-GOOGLE-CAIR_MUL-Weekday-02,Palm Cove to City,0,509151,1100008
110-275,GOOGLE-CAIR_MUL-Weekday-02,2662856-GOOGLE-CAIR_MUL-Weekday-02,Palm Cove to City,0,509152,1100008
110-275,GOOGLE-CAIR_MUL-Weekday-02,2662857-GOOGLE-CAIR_MUL-Weekday-02,Palm Cove to City,0,509148,1100008
110-275,GOOGLE-CAIR_MUL-Weekday-02,2662858-GOOGLE-CAIR_MUL-Weekday-02,Palm Cove to City,0,509150,1100008
110-275,GOOGLE-CAIR_MUL-Weekday-02,2662859-GOOGLE-CAIR_MUL-Weekday-02,Palm Cove to City,0,509148,1100008
110-275,GOOGLE-CAIR_MUL-Weekday-02,2662860-GOOGLE-CAIR_MUL-Weekday-02,Palm Cove to City,0,509150,1100008
110-275,GOOGLE-CAIR_MUL-Weekday-02,2662861-GOOGLE-CAIR_MUL-Weekday-02,Palm Cove to City,0,509148,1100008
110-275,GOOGLE-CAIR_MUL-Weekday-02,2662862-GOOGLE-CAIR_MUL-Weekday-02,City to Palm Cove via Clifton Beach,1,509148,1100013
110-275,GOOGLE-CAIR_MUL-Weekday-02,2662863-GOOGLE-CAIR_MUL-Weekday-02,City to Palm Cove via Clifton Beach,1,509149,1100013
110-275,GOOGLE-CAIR_MUL-Weekday-02,2662864-GOOGLE-CAIR_MUL-Weekday-02,City to Palm Cove via Clifton Beach,1,509150,1100013
110-275,GOOGLE-CAIR_MUL-Weekday-02,2662865-GOOGLE-CAIR_MUL-Weekday-02,City to Palm Cove via Clifton Beach,1,509151,1100013
110-275,GOOGLE-CAIR_MUL-Weekday-02,2662866-GOOGLE-CAIR_MUL-Weekday-02,City to Palm Cove via Clifton Beach,1,509152,1100013
110-275,GOOGLE-CAIR_MUL-Weekday-02,2662867-GOOGLE-CAIR_MUL-Weekday-02,City to Palm Cove via Clifton Beach,1,509148,1100013
110-275,GOOGLE-CAIR_MUL-Weekday-02,2662868-GOOGLE-CAIR_MUL-Weekday-02,City to Palm Cove via Clifton Beach,1,509149,1100013
110-275,GOOGLE-CAIR_MUL-Weekday-02,2662869-GOOGLE-CAIR_MUL-Weekday-02,City to Palm Cove via Clifton Beach,1,509150,1100013
