shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
5000013,-23.8705127576,151.242130044,10001
5000013,-23.8706762263,151.243398396,10002
5000013,-23.8708411881,151.244640221,10003
5000013,-23.8709600671,151.245484023,10004
5000013,-23.8710595653,151.246212226,10005
5000013,-23.87003748,151.246376225,10006
5000013,-23.8682312835,151.246668607,10007
5000013,-23.8682312835,151.246668607,20001
5000013,-23.8680095701,151.246704977,20002
5000013,-23.8667798768,151.246796159,20003
5000013,-23.8666900373,151.246122834,20004
5000013,-23.8665651009,151.245301722,20005
5000013,-23.8665618629,151.245176088,20006
5000013,-23.8665274886,151.244933052,20007
5000013,-23.8665274886,151.244933052,30001
5000013,-23.8664185769,151.244171619,30002
5000013,-23.8662689265,151.243084763,30003
5000013,-23.865417388,151.243238622,30004
5000013,-23.8650272586,151.243234068,30005
5000013,-23.8646606675,151.243393163,30006
5000013,-23.8641070156,151.243776676,30007
5000013,-23.8641070156,151.243776676,40001
5000013,-23.8638758802,151.243936887,40002
5000013,-23.8640120932,151.24479612,40003
5000013,-23.8640120932,151.24479612,50001
5000013,-23.8640938612,151.245315391,50002
5000013,-23.8632998313,151.245444893,50003
5000013,-23.863326664,151.245818609,50004
5000013,-23.8624929875,151.245955514,50005
5000013,-23.8618972414,151.246052884,50006
5000013,-23.861495333,151.246124079,50007
5000013,-23.861495333,151.246124079,60001
5000013,-23.8612529217,151.246166617,60002
5000013,-23.8610434451,151.246167475,60003
5000013,-23.8605407786,151.246271444,60004
5000013,-23.8606140046,151.246834017,60005
5000013,-23.8607261795,151.247645447,60006
5000013,-23.860742524,151.247812135,60007
5000013,-23.8609938116,151.249502383,60008
5000013,-23.8598921694,151.249579045,60009
5000013,-23.8594487399,151.249651768,60010
5000013,-23.8594487399,151.249651768,70001
5000013,-23.8589998934,151.249724563,70002
5000013,-23.8580832744,151.249873351,70003
5000013,-23.8579831504,151.249882551,70004
5000013,-23.8580979612,151.250689023,70005
5000013,-23.858181648,151.251299557,70006
5000013,-23.858370382,151.252334781,70007
5000013,-23.8578980825,151.252409844,70008
5000013,-23.8578980825,151.252409844,80001
5000013,-23.8574609261,151.252478544,80002
5000013,-23.8570424055,151.252598047,80003
5000013,-23.8570276282,151.252091644,80004
5000013,-23.8571267276,151.251753561,80005
5000013,-23.8571098971,151.25146416,80006
5000013,-23.8567400815,151.250545267,80007
5000013,-23.8565211104,151.248916488,80008
5000013,-23.8565095397,151.248851846,80009
5000013,-23.8563627384,151.248964761,80010
5000013,-23.8561877039,151.249056456,80011
5000013,-23.8558081416,151.249187225,80012
5000013,-23.8546471157,151.2494414,80013
5000013,-23.8545912857,151.249454913,80014
5000013,-23.8545912857,151.249454913,90001
5000013,-23.8539320711,151.249609073,90002
5000013,-23.8529680703,151.249799723,90003
5000013,-23.8528780892,151.248953679,90004
5000013,-23.8524025562,151.247712267,90005
5000013,-23.8524025562,151.247712267,100001
5000013,-23.8522397145,151.247288379,100002
5000013,-23.8521056245,151.246376177,100003
5000013,-23.8512575451,151.246517182,100004
5000013,-23.8506446882,151.246618696,100005
5000013,-23.8506446882,151.246618696,110001
5000013,-23.8503797168,151.246662513,110002
5000013,-23.8494676146,151.246811247,110003
5000013,-23.8484527913,151.246979032,110004
5000013,-23.8487187844,151.24893006,110005
5000013,-23.8488390963,151.249108099,110006
5000013,-23.8489440154,151.249282417,110007
5000013,-23.8489440154,151.249282417,120001
5000013,-23.8489559864,151.249302873,120002
5000013,-23.8491567688,151.250761964,120003
5000013,-23.8472009739,151.251081751,120004
5000013,-23.8466680068,151.250744325,120005
5000013,-23.8464570133,151.250611682,120006
5000013,-23.8464570133,151.250611682,130001
5000013,-23.8451110441,151.249767822,130002
5000013,-23.8451099071,151.249747222,130003
5000013,-23.8451041667,151.24971883,130004
5000013,-23.845094815,151.249690486,130005
5000013,-23.8450809492,151.249662203,130006
5000013,-23.845060786,151.249635969,130007
5000013,-23.8450379589,151.249613696,130008
5000013,-23.8450152098,151.249598295,130009
5000013,-23.8449843465,151.249583984,130010
5000013,-23.8449508417,151.249575598,130011
5000013,-23.8449255514,151.249574956,130012
5000013,-23.8448940084,151.249580289,130013
5000013,-23.8448553431,151.249594552,130014
5000013,-23.8445960824,151.249028653,130015
5000013,-23.8444797053,151.247529213,130016
5000013,-23.8442307926,151.247476604,130017
5000013,-23.8427728264,151.247663094,130018
5000013,-23.8413147162,151.248710502,130019
5000013,-23.8412663319,151.248743547,130020
5000013,-23.840520248,151.249278759,130021
5000013,-23.8400810774,151.249805917,130022
5000013,-23.8396253636,151.250864368,130023
5000013,-23.8392475447,151.251546777,130024
5000013,-23.8390640569,151.251848642,130025
5000013,-23.8385557553,151.252730105,130026
5000013,-23.8390252752,151.253046775,130027
5000013,-23.8403015982,151.253881751,130028
5000013,-23.8401980922,151.254070634,130029
5000013,-23.8401980922,151.254070634,140001
5000013,-23.8397734095,151.254842014,140002
5000013,-23.8392552565,151.255811952,140003
5000013,-23.8409761363,151.256913915,140004
5000013,-23.8415118883,151.25725917,140005
5000013,-23.8415118883,151.25725917,150001
5000013,-23.8427143853,151.258035307,150002
5000013,-23.8432230641,151.257104744,150003
5000013,-23.8437307119,151.256163389,150004
5000013,-23.8437461377,151.256170055,150005
5000013,-23.8437641943,151.256169813,150006
5000013,-23.8437722864,151.25616676,150007
5000013,-23.8443935279,151.256565849,150008
5000013,-23.8448782338,151.256868599,150009
5000013,-23.8454328123,151.257201831,150010
5000013,-23.84543299,151.257217536,150011
5000013,-23.8454368234,151.257237119,150012
5000013,-23.8454552797,151.257272213,150013
5000013,-23.8454571076,151.257274152,150014
5000013,-23.8454689665,151.257284792,150015
5000013,-23.8454853395,151.257295372,150016
5000013,-23.8455025599,151.257301032,150017
5000013,-23.8455206497,151.257303735,150018
5000013,-23.8455386841,151.25730153,150019
5000013,-23.845556674,151.2572954,150020
5000013,-23.8455665385,151.257289377,150021
5000013,-23.8471338893,151.258310014,150022
5000013,-23.8471340447,151.258323756,150023
5000013,-23.8471369308,151.258339425,150024
5000013,-23.8471415892,151.258352125,150025
5000013,-23.8471507618,151.258364765,150026
5000013,-23.8471617289,151.258376399,150027
5000013,-23.8471726405,151.258383125,150028
5000013,-23.8471997919,151.258388652,150029
5000013,-23.8472142261,151.258387477,150030
5000013,-23.8472268212,151.258383382,150031
5000013,-23.8472357829,151.258377372,150032
5000013,-23.848290975,151.259063236,150033
5000013,-23.848290975,151.259063236,160001
5000013,-23.8488413128,151.259421086,160002
5000013,-23.8488405541,151.259433858,160003
5000013,-23.8488490124,151.259463197,160004
5000013,-23.8488581849,151.259475837,160005
5000013,-23.848868238,151.259486502,160006
5000013,-23.8488727854,151.259489386,160007
5000013,-23.8483792206,151.260400146,160008
5000013,-23.847858161,151.261355443,160009
5000013,-23.8483366054,151.261664193,160010
5000013,-23.8483366054,151.261664193,170001
5000013,-23.8495745379,151.262461533,170002
5000013,-23.8512990669,151.263570488,170003
5000013,-23.8507681787,151.264536726,170004
5000013,-23.8502461355,151.265487131,170005
5000013,-23.8498481288,151.266226768,170006
5000013,-23.8496414213,151.266714496,170007
5000013,-23.849304438,151.267822446,170008
5000013,-23.8488046159,151.268422055,170009
5000013,-23.8485147614,151.268823507,170010
5000013,-23.8481285484,151.269408837,170011
5000013,-23.8479813179,151.269886928,170012
5000013,-23.847844998,151.270452247,170013
5000013,-23.8479390447,151.271429777,170014
5000013,-23.8477983373,151.272248437,170015
5000013,-23.8487230156,151.272412888,170016
5000013,-23.8498690752,151.272671597,170017
5000013,-23.8498690752,151.272671597,180001
5000013,-23.8502773543,151.272764359,180002
5000013,-23.8522562771,151.273213293,180003
5000013,-23.8542334154,151.273664227,180004
5000013,-23.8562431646,151.274124558,180005
5000013,-23.856316627,151.273750505,180006
5000013,-23.8564082224,151.273302577,180007
5000013,-23.8564540582,151.272961289,180008
5000013,-23.8566214876,151.272109821,180009
5000013,-23.8566744558,151.271841089,180010
5000013,-23.8566744558,151.271841089,190001
5000013,-23.8567847286,151.27128786,190002
5000013,-23.8572067031,151.270429081,190003
5000013,-23.8576424135,151.269587786,190004
5000013,-23.8578430332,151.269280763,190005
5000013,-23.8579619492,151.269095587,190006
5000013,-23.8569453435,151.268465042,190007
5000013,-23.8569453435,151.268465042,200001
5000013,-23.8560533069,151.267911393,200002
5000013,-23.8542062927,151.266748012,200003
5000013,-23.8547336485,151.265787693,200004
5000013,-23.8552881559,151.264753372,200005
5000013,-23.8562463413,151.265326732,200006
5000013,-23.8576855724,151.265077824,200007
5000013,-23.8576855724,151.265077824,210001
5000013,-23.8578180561,151.265055441,210002
5000013,-23.8591658213,151.264943234,210003
5000013,-23.8601649506,151.265464029,210004
5000013,-23.8605410711,151.265106547,210005
5000013,-23.8610279087,151.265599808,210006
5000013,-23.8610279087,151.265599808,220001
5000013,-23.8613256701,151.265901189,220002
5000013,-23.8616223218,151.266264441,220003
5000013,-23.8618773541,151.266620395,220004
5000013,-23.8621340952,151.267048,220005
5000013,-23.8623625602,151.267450456,220006
5000013,-23.8626978583,151.268600631,220007
5000013,-23.863541616,151.268474537,220008
5000013,-23.863541616,151.268474537,230001
5000013,-23.8646819406,151.268303258,230002
5000013,-23.865256842,151.268197426,230003
5000013,-23.8657562809,151.26812598,230004
5000013,-23.8657562809,151.26812598,240001
5000013,-23.8666632135,151.267997074,240002
5000013,-23.8669721577,151.270257148,240003
5000013,-23.8677780308,151.270134507,240004
5000013,-23.870559796,151.26970871,240005
5000013,-23.8712881239,151.269595928,240006
5000013,-23.8712881239,151.269595928,250001
5000013,-23.8718289609,151.26951215,250002
5000013,-23.8731142657,151.269305551,250003
5000013,-23.8732252705,151.268657976,250004
5000013,-23.8732885502,151.268182869,250005
5000013,-23.8733133503,151.267498145,250006
5000013,-23.8733285111,151.267240682,250007
5000013,-23.8735498221,151.26692745,250008
5000013,-23.8737561461,151.267047442,250009
5000013,-23.8740876943,151.267061684,250010
