trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
2927478-GOOGLE-GLT_MUL-Weekday-05,09:00:00,09:00:00,760022,1,0,0
2927478-GOOGLE-GLT_MUL-Weekday-05,09:02:00,09:02:00,760021,2,0,0
2927478-GOOGLE-GLT_MUL-Weekday-05,09:03:00,09:03:00,760019,3,0,0
2927478-GOOGLE-GLT_MUL-Weekday-05,09:04:00,09:04:00,760020,4,0,0
2927478-GOOGLE-GLT_MUL-Weekday-05,09:04:00,09:04:00,760018,5,0,0
2927478-GOOGLE-GLT_MUL-Weekday-05,09:05:00,09:05:00,760077,6,0,0
2927478-GOOGLE-GLT_MUL-Weekday-05,09:07:00,09:07:00,760016,7,0,0
2927478-GOOGLE-GLT_MUL-Weekday-05,09:09:00,09:09:00,760088,8,0,0
2927478-GOOGLE-GLT_MUL-Weekday-05,09:11:00,09:11:00,760013,9,0,0
2927478-GOOGLE-GLT_MUL-Weekday-05,09:13:00,09:13:00,760079,10,0,0
2927478-GOOGLE-GLT_MUL-Weekday-05,09:14:00,09:14:00,760010,11,0,0
2927478-GOOGLE-GLT_MUL-Weekday-05,09:17:00,09:17:00,760080,12,0,0
2927478-GOOGLE-GLT_MUL-Weekday-05,09:17:00,09:17:00,760006,13,0,0
2927478-GOOGLE-GLT_MUL-Weekday-05,09:20:00,09:20:00,760143,14,0,0
2927478-GOOGLE-GLT_MUL-Weekday-05,09:21:00,09:21:00,760144,15,0,0
2927478-GOOGLE-GLT_MUL-Weekday-05,09:22:00,09:22:00,760087,16,0,0
2927478-GOOGLE-GLT_MUL-Weekday-05,09:23:00,09:23:00,760091,17,0,0
2927478-GOOGLE-GLT_MUL-Weekday-05,09:28:00,09:28:00,760092,18,0,0
2927478-GOOGLE-GLT_MUL-Weekday-05,09:31:00,09:31:00,760096,19,0,0
2927478-GOOGLE-GLT_MUL-Weekday-05,09:33:00,09:33:00,760001,20,0,0
2927478-GOOGLE-GLT_MUL-Weekday-05,09:35:00,09:35:00,760000,21,0,0
2927478-GOOGLE-GLT_MUL-Weekday-05,09:36:00,09:36:00,760158,22,0,0
2927478-GOOGLE-GLT_MUL-Weekday-05,09:37:00,09:37:00,760099,23,0,0
2927478-GOOGLE-GLT_MUL-Weekday-05,09:37:00,09:37:00,760100,24,0,0
2927478-GOOGLE-GLT_MUL-Weekday-05,09:39:00,09:39:00,760101,25,0,0
2927478-GOOGLE-GLT_MUL-Weekday-05,09:41:00,09:41:00,760105,26,0,0
