route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
500-255,GOOGLE-GLT_MUL-Weekday-05,2927478-GOOGLE-GLT_MUL-Weekday-05,"Stockland (Phillip St) - Hospital - TAFE - Stockland",0,546401,5000013
500-255,GOOGLE-GLT_MUL-Weekday-05,2927479-GOOGLE-GLT_MUL-Weekday-05,"Stockland (Phillip St) - Hospital - TAFE - Stockland",0,546402,5000013
500-255,GOOGLE-GLT_MUL-Weekday-05,2927480-GOOGLE-GLT_MUL-Weekday-05,"Stockland (Phillip St) - Hospital - TAFE - Stockland",0,546403,5000013
500-255,GOOGLE-GLT_MUL-Weekday-05,2927481-GOOGLE-GLT_MUL-Weekday-05,"Stockland (Phillip St) - Hospital - TAFE - Stockland",0,546404,5000013
500S-255,GOOGLE-GLT_MUL-Weekday-05,2927486-GOOGLE-GLT_MUL-Weekday-05,"Stockland (Phillip St) - Hospital - TAFE - Stockland",0,546409,500S0006
500S-255,GOOGLE-GLT_MUL-Weekday-05,2927487-GOOGLE-GLT_MUL-Weekday-05,"Stockland (Phillip St) - Hospital - TAFE - Stockland",0,546410,500S0006
500S-255,GOOGLE-GLT_MUL-Weekday-05,2927488-GOOGLE-GLT_MUL-Weekday-05,"Stockland (Phillip St) - Hospital - TAFE - Stockland",0,546411,500S0008
500S-255,GOOGLE-GLT_MUL-Weekday-05,2927489-GOOGLE-GLT_MUL-Weekday-05,"Stockland (Phillip St) - Hospital - TAFE - Stockland",0,546412,500S0009
500S-255,GOOGLE-GLT_MUL-Weekday-05,2927490-GOOGLE-GLT_MUL-Weekday-05,"Stockland (Phillip St) - Hospital - TAFE - Stockland",0,546413,500S0007
500S-255,GOOGLE-GLT_MUL-Weekday-05,2927491-GOOGLE-GLT_MUL-Weekday-05,"Stockland (Phillip St) - Hospital - TAFE - Stockland",0,546414,500S0006
501-255,GOOGLE-GLT_MUL-Weekday-05,2927492-GOOGLE-GLT_MUL-Weekday-05,"Stockland (Phillip St) - TAFE -  Hospital - Stockland",1,546415,5010004
501-255,GOOGLE-GLT_MUL-Weekday-05,2927493-GOOGLE-GLT_MUL-Weekday-05,"Stockland (Phillip St) - TAFE -  Hospital - Stockland",1,546416,5010004
501-255,GOOGLE-GLT_MUL-Weekday-05,2927494-GOOGLE-GLT_MUL-Weekday-05,"Stockland (Phillip St) - TAFE -  Hospital - Stockland",1,546417,5010004
501-255,GOOGLE-GLT_MUL-Weekday-05,2927495-GOOGLE-GLT_MUL-Weekday-05,"Stockland (Phillip St) - TAFE -  Hospital - Stockland",1,546418,5010004
501-255,GOOGLE-GLT_MUL-Weekday-05,2927496-GOOGLE-GLT_MUL-Weekday-05,"Stockland (Phillip St) - TAFE -  Hospital - Stockland",1,546419,5010005
