shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
GR500001,-25.9012685545,153.091119115,10001
GR500001,-25.9014237036,153.091383808,10002
GR500001,-25.9016248501,153.091735397,10003
GR500001,-25.9016645383,153.091804317,10004
GR500001,-25.9016645383,153.091804317,20001
GR500001,-25.9018936501,153.092197862,20002
GR500001,-25.9020670845,153.092105146,20003
GR500001,-25.9024591189,153.091894788,20004
GR500001,-25.9033127502,153.091422204,20005
GR500001,-25.9041745038,153.090954612,20006
GR500001,-25.9048420472,153.090589702,20007
GR500001,-25.9051753465,153.090440193,20008
GR500001,-25.9054002524,153.090344516,20009
GR500001,-25.9056829408,153.090263859,20010
GR500001,-25.9057037122,153.090259881,20011
GR500001,-25.9057037122,153.090259881,30001
GR500001,-25.9064677393,153.090112694,30002
GR500001,-25.9077509997,153.089948926,30003
GR500001,-25.9110147032,153.089507081,30004
GR500001,-25.9114301023,153.089473447,30005
GR500001,-25.911911382,153.089501767,30006
GR500001,-25.9122662242,153.089558948,30007
GR500001,-25.9126950757,153.089675097,30008
GR500001,-25.9134949784,153.089920333,30009
GR500001,-25.9141125717,153.090010666,30010
GR500001,-25.9148891926,153.089939363,30011
GR500001,-25.9170890627,153.089661445,30012
GR500001,-25.9180625805,153.089518393,30013
GR500001,-25.9233043739,153.088199239,30014
GR500001,-25.9484779115,153.079009161,30015
GR500001,-25.9509597874,153.078171817,30016
GR500001,-25.9520706362,153.077857923,30017
GR500001,-25.9532951603,153.077731878,30018
GR500001,-25.9545477101,153.07754392,30019
GR500001,-25.9558870137,153.077230159,30020
GR500001,-25.9565987712,153.076853056,30021
GR500001,-25.9573403101,153.076506932,30022
GR500001,-25.9578478757,153.076346443,30023
GR500001,-25.9586497133,153.076380922,30024
GR500001,-25.9599588825,153.076697414,30025
GR500001,-25.9604084991,153.076834554,30026
GR500001,-25.9611768795,153.076955919,30027
GR500001,-25.9616961184,153.076919297,30028
GR500001,-25.962665277,153.076447444,30029
GR500001,-25.9635756072,153.076227272,30030
GR500001,-25.964458748,153.076195875,30031
GR500001,-25.9660542807,153.076291802,30032
GR500001,-25.9688859261,153.076538374,30033
