trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
321842-GOOGLE-GRT_MUL-Weekday-01,09:00:00,09:00:00,770004,1,0,0
321842-GOOGLE-GRT_MUL-Weekday-01,09:02:00,09:02:00,770005,2,0,0
321842-GOOGLE-GRT_MUL-Weekday-01,09:04:00,09:04:00,770007,3,0,0
321842-GOOGLE-GRT_MUL-Weekday-01,09:05:00,09:05:00,770008,4,0,0
321842-GOOGLE-GRT_MUL-Weekday-01,09:05:00,09:05:00,770009,5,0,0
321842-GOOGLE-GRT_MUL-Weekday-01,09:06:00,09:06:00,770060,6,0,0
321842-GOOGLE-GRT_MUL-Weekday-01,09:09:00,09:09:00,770010,7,0,0
321842-GOOGLE-GRT_MUL-Weekday-01,09:10:00,09:10:00,770011,8,0,0
321842-GOOGLE-GRT_MUL-Weekday-01,09:11:00,09:11:00,770061,9,0,0
321842-GOOGLE-GRT_MUL-Weekday-01,09:12:00,09:12:00,770062,10,0,0
321842-GOOGLE-GRT_MUL-Weekday-01,09:13:00,09:13:00,770063,11,0,0
321842-GOOGLE-GRT_MUL-Weekday-01,09:14:00,09:14:00,770064,12,0,0
321842-GOOGLE-GRT_MUL-Weekday-01,09:15:00,09:15:00,770065,13,0,0
321842-GOOGLE-GRT_MUL-Weekday-01,09:17:00,09:17:00,770006,14,0,0
321842-GOOGLE-GRT_MUL-Weekday-01,09:21:00,09:21:00,770012,15,0,0
321843-GOOGLE-GRT_MUL-Weekday-01,11:00:00,11:00:00,770004,1,0,0
321843-GOOGLE-GRT_MUL-Weekday-01,11:02:00,11:02:00,770005,2,0,0
321843-GOOGLE-GRT_MUL-Weekday-01,11:04:00,11:04:00,770007,3,0,0
321843-GOOGLE-GRT_MUL-Weekday-01,11:05:00,11:05:00,770008,4,0,0
321843-GOOGLE-GRT_MUL-Weekday-01,11:05:00,11:05:00,770009,5,0,0
321843-GOOGLE-GRT_MUL-Weekday-01,11:06:00,11:06:00,770060,6,0,0
321843-GOOGLE-GRT_MUL-Weekday-01,11:09:00,11:09:00,770010,7,0,0
321843-GOOGLE-GRT_MUL-Weekday-01,11:10:00,11:10:00,770011,8,0,0
321843-GOOGLE-GRT_MUL-Weekday-01,11:11:00,11:11:00,770061,9,0,0
321843-GOOGLE-GRT_MUL-Weekday-01,11:12:00,11:12:00,770062,10,0,0
321843-GOOGLE-GRT_MUL-Weekday-01,11:13:00,11:13:00,770063,11,0,0
321843-GOOGLE-GRT_MUL-Weekday-01,11:14:00,11:14:00,770064,12,0,0
321843-GOOGLE-GRT_MUL-Weekday-01,11:15:00,11:15:00,770065,13,0,0
321843-GOOGLE-GRT_MUL-Weekday-01,11:17:00,11:17:00,770006,14,0,0
321843-GOOGLE-GRT_MUL-Weekday-01,11:21:00,11:21:00,770012,15,0,0
321844-GOOGLE-GRT_MUL-Weekday-01,13:00:00,13:00:00,770004,1,0,0
321844-GOOGLE-GRT_MUL-Weekday-01,13:02:00,13:02:00,770005,2,0,0
321844-GOOGLE-GRT_MUL-Weekday-01,13:04:00,13:04:00,770007,3,0,0
321844-GOOGLE-GRT_MUL-Weekday-01,13:05:00,13:05:00,770008,4,0,0
321844-GOOGLE-GRT_MUL-Weekday-01,13:05:00,13:05:00,770009,5,0,0
321844-GOOGLE-GRT_MUL-Weekday-01,13:06:00,13:06:00,770060,6,0,0
321844-GOOGLE-GRT_MUL-Weekday-01,13:09:00,13:09:00,770010,7,0,0
321844-GOOGLE-GRT_MUL-Weekday-01,13:10:00,13:10:00,770011,8,0,0
321844-GOOGLE-GRT_MUL-Weekday-01,13:11:00,13:11:00,770061,9,0,0
321844-GOOGLE-GRT_MUL-Weekday-01,13:12:00,13:12:00,770062,10,0,0
321844-GOOGLE-GRT_MUL-Weekday-01,13:13:00,13:13:00,770063,11,0,0
321844-GOOGLE-GRT_MUL-Weekday-01,13:14:00,13:14:00,770064,12,0,0
321844-GOOGLE-GRT_MUL-Weekday-01,13:15:00,13:15:00,770065,13,0,0
321844-GOOGLE-GRT_MUL-Weekday-01,13:17:00,13:17:00,770006,14,0,0
321844-GOOGLE-GRT_MUL-Weekday-01,13:21:00,13:21:00,770012,15,0,0
321845-GOOGLE-GRT_MUL-Weekday-01,09:30:00,09:30:00,770004,1,0,0
321845-GOOGLE-GRT_MUL-Weekday-01,09:31:00,09:31:00,770005,2,0,0
321845-GOOGLE-GRT_MUL-Weekday-01,09:33:00,09:33:00,770086,3,0,0
321845-GOOGLE-GRT_MUL-Weekday-01,09:34:00,09:34:00,770036,4,0,0
321845-GOOGLE-GRT_MUL-Weekday-01,09:36:00,09:36:00,770037,5,0,0
321845-GOOGLE-GRT_MUL-Weekday-01,09:38:00,09:38:00,770038,6,0,0
321845-GOOGLE-GRT_MUL-Weekday-01,09:40:00,09:40:00,770087,7,0,0
321845-GOOGLE-GRT_MUL-Weekday-01,09:42:00,09:42:00,770039,8,0,0
321845-GOOGLE-GRT_MUL-Weekday-01,09:43:00,09:43:00,770040,9,0,0
321845-GOOGLE-GRT_MUL-Weekday-01,09:44:00,09:44:00,770041,10,0,0
321845-GOOGLE-GRT_MUL-Weekday-01,09:45:00,09:45:00,770043,11,0,0
321845-GOOGLE-GRT_MUL-Weekday-01,09:49:00,09:49:00,770044,12,0,0
321845-GOOGLE-GRT_MUL-Weekday-01,09:52:00,09:52:00,770045,13,0,0
321845-GOOGLE-GRT_MUL-Weekday-01,09:53:00,09:53:00,770046,14,0,0
321845-GOOGLE-GRT_MUL-Weekday-01,09:55:00,09:55:00,770012,15,0,0
321846-GOOGLE-GRT_MUL-Weekday-01,11:00:00,11:00:00,770004,1,0,0
321846-GOOGLE-GRT_MUL-Weekday-01,11:01:00,11:01:00,770005,2,0,0
321846-GOOGLE-GRT_MUL-Weekday-01,11:03:00,11:03:00,770086,3,0,0
321846-GOOGLE-GRT_MUL-Weekday-01,11:04:00,11:04:00,770036,4,0,0
