route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
GRT1-144,GOOGLE-GRT_MUL-Weekday-01,321842-GOOGLE-GRT_MUL-Weekday-01,"Cooinda",0,,GRT10001
GRT1-144,GOOGLE-GRT_MUL-Weekday-01,321843-GOOGLE-GRT_MUL-Weekday-01,"Cooinda",0,,GRT10001
GRT1-144,GOOGLE-GRT_MUL-Weekday-01,321844-GOOGLE-GRT_MUL-Weekday-01,"Cooinda",0,,GRT10001
GRT2-144,GOOGLE-GRT_MUL-Weekday-01,321845-GOOGLE-GRT_MUL-Weekday-01,"Stewart Terrace",0,,GRT20001
GRT2-144,GOOGLE-GRT_MUL-Weekday-01,321846-GOOGLE-GRT_MUL-Weekday-01,"Stewart Terrace",0,,GRT20001
GRT2-144,GOOGLE-GRT_MUL-Weekday-01,321847-GOOGLE-GRT_MUL-Weekday-01,"Stewart Terrace",0,,GRT20001
GRT3-144,GOOGLE-GRT_MUL-Weekday-01,321848-GOOGLE-GRT_MUL-Weekday-01,"Rifle Range Road",0,,GRT30001
GRT3-144,GOOGLE-GRT_MUL-Weekday-01,321849-GOOGLE-GRT_MUL-Weekday-01,"Rifle Range Road",0,,GRT30001
GRT3-144,GOOGLE-GRT_MUL-Weekday-01,321850-GOOGLE-GRT_MUL-Weekday-01,"Rifle Range Road",0,,GRT30001
GRT4-144,GOOGLE-GRT_MUL-Weekday-01,321851-GOOGLE-GRT_MUL-Weekday-01,"Ashford Hill",0,,GRT40001
GRT4-144,GOOGLE-GRT_MUL-Weekday-01,321852-GOOGLE-GRT_MUL-Weekday-01,"Ashford Hill",0,,GRT40002
GRT5-144,GOOGLE-GRT_MUL-Weekday-01,321853-GOOGLE-GRT_MUL-Weekday-01,"Monkland",0,,GRT50001
GRT5-144,GOOGLE-GRT_MUL-Weekday-01,321854-GOOGLE-GRT_MUL-Weekday-01,"Monkland",0,,GRT50001
GRT5-144,GOOGLE-GRT_MUL-Weekday-01,321855-GOOGLE-GRT_MUL-Weekday-01,"Monkland",0,,GRT50001
