trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
1111042-GOOGLE-INNISF-Weekday-00,12:30:00,12:30:00,790000,1,0,0
1111042-GOOGLE-INNISF-Weekday-00,12:30:00,12:30:00,790049,2,0,0
1111042-GOOGLE-INNISF-Weekday-00,12:32:00,12:32:00,790037,3,0,0
1111042-GOOGLE-INNISF-Weekday-00,12:33:00,12:33:00,790038,4,0,0
1111042-GOOGLE-INNISF-Weekday-00,12:38:00,12:38:00,790019,5,0,0
1111042-GOOGLE-INNISF-Weekday-00,12:38:00,12:38:00,790051,6,0,0
1111042-GOOGLE-INNISF-Weekday-00,12:41:00,12:41:00,790083,7,0,0
1111043-GOOGLE-INNISF-Weekday-00,08:40:00,08:40:00,790082,1,0,0
1111043-GOOGLE-INNISF-Weekday-00,08:40:00,08:40:00,790030,2,0,0
1111043-GOOGLE-INNISF-Weekday-00,08:43:00,08:43:00,790019,3,0,0
1111043-GOOGLE-INNISF-Weekday-00,08:43:00,08:43:00,790051,4,0,0
1111043-GOOGLE-INNISF-Weekday-00,08:49:00,08:49:00,790021,5,0,0
1111043-GOOGLE-INNISF-Weekday-00,08:50:00,08:50:00,790022,6,0,0
1111043-GOOGLE-INNISF-Weekday-00,08:52:00,08:52:00,790000,7,0,0
1111044-GOOGLE-INNISF-Weekday-00,11:26:00,11:26:00,790082,1,0,0
1111044-GOOGLE-INNISF-Weekday-00,11:26:00,11:26:00,790030,2,0,0
1111044-GOOGLE-INNISF-Weekday-00,11:30:00,11:30:00,790021,3,0,0
1111044-GOOGLE-INNISF-Weekday-00,11:31:00,11:31:00,790022,4,0,0
1111044-GOOGLE-INNISF-Weekday-00,11:33:00,11:33:00,790000,5,0,0
1111045-GOOGLE-INNISF-Weekday-00,13:20:00,13:20:00,790082,1,0,0
1111045-GOOGLE-INNISF-Weekday-00,13:20:00,13:20:00,790030,2,0,0
1111045-GOOGLE-INNISF-Weekday-00,13:23:00,13:23:00,790019,3,0,0
1111045-GOOGLE-INNISF-Weekday-00,13:23:00,13:23:00,790051,4,0,0
1111045-GOOGLE-INNISF-Weekday-00,13:29:00,13:29:00,790021,5,0,0
1111045-GOOGLE-INNISF-Weekday-00,13:30:00,13:30:00,790022,6,0,0
1111045-GOOGLE-INNISF-Weekday-00,13:32:00,13:32:00,790000,7,0,0
1111046-GOOGLE-INNISF-Weekday-00,11:15:00,11:15:00,790000,1,0,0
1111046-GOOGLE-INNISF-Weekday-00,11:15:00,11:15:00,790049,2,0,0
1111046-GOOGLE-INNISF-Weekday-00,11:17:00,11:17:00,790037,3,0,0
1111046-GOOGLE-INNISF-Weekday-00,11:18:00,11:18:00,790038,4,0,0
1111046-GOOGLE-INNISF-Weekday-00,11:23:00,11:23:00,790019,5,0,0
1111046-GOOGLE-INNISF-Weekday-00,11:23:00,11:23:00,790051,6,0,0
1111046-GOOGLE-INNISF-Weekday-00,11:26:00,11:26:00,790083,7,0,0
1111047-GOOGLE-INNISF-Weekday-00,09:29:00,09:29:00,790052,1,0,0
1111047-GOOGLE-INNISF-Weekday-00,09:29:00,09:29:00,790028,2,0,0
1111047-GOOGLE-INNISF-Weekday-00,09:30:00,09:30:00,790064,3,0,0
1111047-GOOGLE-INNISF-Weekday-00,09:31:00,09:31:00,790055,4,0,0
1111047-GOOGLE-INNISF-Weekday-00,09:33:00,09:33:00,790057,5,0,0
1111047-GOOGLE-INNISF-Weekday-00,09:35:00,09:35:00,790022,6,0,0
1111047-GOOGLE-INNISF-Weekday-00,09:37:00,09:37:00,790000,7,0,0
1111048-GOOGLE-INNISF-Weekday-00,09:20:00,09:20:00,790000,1,0,0
1111048-GOOGLE-INNISF-Weekday-00,09:20:00,09:20:00,790049,2,0,0
1111048-GOOGLE-INNISF-Weekday-00,09:22:00,09:22:00,790037,3,0,0
1111048-GOOGLE-INNISF-Weekday-00,09:25:00,09:25:00,790061,4,0,0
1111048-GOOGLE-INNISF-Weekday-00,09:25:00,09:25:00,790059,5,0,0
1111048-GOOGLE-INNISF-Weekday-00,09:27:00,09:27:00,790058,6,0,0
1111048-GOOGLE-INNISF-Weekday-00,09:29:00,09:29:00,790052,7,0,0
1111049-GOOGLE-INNISF-Weekday-00,11:35:00,11:35:00,790000,1,0,0
1111049-GOOGLE-INNISF-Weekday-00,11:35:00,11:35:00,790049,2,0,0
1111049-GOOGLE-INNISF-Weekday-00,11:38:00,11:38:00,790044,3,0,0
1111049-GOOGLE-INNISF-Weekday-00,11:39:00,11:39:00,790035,4,0,0
1111049-GOOGLE-INNISF-Weekday-00,11:42:00,11:42:00,790045,5,0,0
1111049-GOOGLE-INNISF-Weekday-00,11:42:00,11:42:00,790089,6,0,0
1111049-GOOGLE-INNISF-Weekday-00,11:42:00,11:42:00,790005,7,0,0
1111049-GOOGLE-INNISF-Weekday-00,11:44:00,11:44:00,790088,8,0,0
1111049-GOOGLE-INNISF-Weekday-00,11:47:00,11:47:00,790033,9,0,0
1111049-GOOGLE-INNISF-Weekday-00,11:49:00,11:49:00,790001,10,0,0
1111049-GOOGLE-INNISF-Weekday-00,11:53:00,11:53:00,790034,11,0,0
1111049-GOOGLE-INNISF-Weekday-00,11:57:00,11:57:00,790000,12,0,0
1111050-GOOGLE-INNISF-Weekday-00,14:15:00,14:15:00,790000,1,0,0
1111050-GOOGLE-INNISF-Weekday-00,14:15:00,14:15:00,790049,2,0,0
1111050-GOOGLE-INNISF-Weekday-00,14:18:00,14:18:00,790044,3,0,0
1111050-GOOGLE-INNISF-Weekday-00,14:19:00,14:19:00,790035,4,0,0
1111050-GOOGLE-INNISF-Weekday-00,14:24:00,14:24:00,790045,5,0,0
1111050-GOOGLE-INNISF-Weekday-00,14:24:00,14:24:00,790089,6,0,0
1111050-GOOGLE-INNISF-Weekday-00,14:24:00,14:24:00,790005,7,0,0
1111050-GOOGLE-INNISF-Weekday-00,14:26:00,14:26:00,790088,8,0,0
1111050-GOOGLE-INNISF-Weekday-00,14:29:00,14:29:00,790033,9,0,0
1111050-GOOGLE-INNISF-Weekday-00,14:31:00,14:31:00,790001,10,0,0
1111050-GOOGLE-INNISF-Weekday-00,14:35:00,14:35:00,790034,11,0,0
1111050-GOOGLE-INNISF-Weekday-00,14:39:00,14:39:00,790000,12,0,0
1111051-GOOGLE-INNISF-Weekday-00,15:50:00,15:50:00,790000,1,0,0
