route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
801-50,GOOGLE-INNISF-Weekday-00,1111042-GOOGLE-INNISF-Weekday-00,"Central Arcade",1,268201,8010010
801-50,GOOGLE-INNISF-Weekday-00,1111043-GOOGLE-INNISF-Weekday-00,"Warrina",0,268201,8010011
801-50,GOOGLE-INNISF-Weekday-00,1111044-GOOGLE-INNISF-Weekday-00,"Warrina",0,268201,8010008
801-50,GOOGLE-INNISF-Weekday-00,1111045-GOOGLE-INNISF-Weekday-00,"Warrina",0,268201,8010011
801-50,GOOGLE-INNISF-Weekday-00,1111046-GOOGLE-INNISF-Weekday-00,"Central Arcade",1,268201,8010010
802-50,GOOGLE-INNISF-Weekday-00,1111047-GOOGLE-INNISF-Weekday-00,"Central Arcade",1,268201,8020009
802-50,GOOGLE-INNISF-Weekday-00,1111048-GOOGLE-INNISF-Weekday-00,"Cullinane",0,268201,8020008
803-50,GOOGLE-INNISF-Weekday-00,1111049-GOOGLE-INNISF-Weekday-00," Central Arcade",0,268201,8030008
803-50,GOOGLE-INNISF-Weekday-00,1111050-GOOGLE-INNISF-Weekday-00," Central Arcade",0,268201,8030008
803-50,GOOGLE-INNISF-Weekday-00,1111051-GOOGLE-INNISF-Weekday-00," Central Arcade",0,268202,8030008
803-50,GOOGLE-INNISF-Weekday-00,1111052-GOOGLE-INNISF-Weekday-00," Central Arcade",0,268201,8030008
804-50,GOOGLE-INNISF-Weekday-00,1111053-GOOGLE-INNISF-Weekday-00,"West Innisfail/Belvedere",1,268201,8040011
804-50,GOOGLE-INNISF-Weekday-00,1111054-GOOGLE-INNISF-Weekday-00,"West Innisfail/Belvedere",1,268201,8040011
805-50,GOOGLE-INNISF-Weekday-00,1111055-GOOGLE-INNISF-Weekday-00,"Flying Fish Point",1,268201,8050012
805-50,GOOGLE-INNISF-Weekday-00,1111056-GOOGLE-INNISF-Weekday-00,"Central Arcade",0,268201,8050011
805-50,GOOGLE-INNISF-Weekday-00,1111057-GOOGLE-INNISF-Weekday-00,"Central Arcade",0,268201,8050011
805-50,GOOGLE-INNISF-Weekday-00,1111058-GOOGLE-INNISF-Weekday-00,"Flying Fish Point",1,268201,8050012
801-50,GOOGLE-INNISF-Saturday-00,1111059-GOOGLE-INNISF-Saturday-00,"Warrina",0,268203,8010011
801-50,GOOGLE-INNISF-Saturday-00,1111060-GOOGLE-INNISF-Saturday-00,"Warrina",0,268203,8010008
801-50,GOOGLE-INNISF-Saturday-00,1111061-GOOGLE-INNISF-Saturday-00,"Central Arcade",1,268203,8010009
802-50,GOOGLE-INNISF-Saturday-00,1111062-GOOGLE-INNISF-Saturday-00,"Cullinane",0,268203,8020008
802-50,GOOGLE-INNISF-Saturday-00,1111063-GOOGLE-INNISF-Saturday-00,"Central Arcade",1,268203,8020009
802-50,GOOGLE-INNISF-Saturday-00,1111064-GOOGLE-INNISF-Saturday-00,"Central Arcade",1,268203,8020009
802-50,GOOGLE-INNISF-Saturday-00,1111065-GOOGLE-INNISF-Saturday-00,"Cullinane",0,268203,8020008
803-50,GOOGLE-INNISF-Saturday-00,1111066-GOOGLE-INNISF-Saturday-00," Central Arcade",0,268203,8030008
803-50,GOOGLE-INNISF-Saturday-00,1111067-GOOGLE-INNISF-Saturday-00," Central Arcade",0,268203,8030008
804-50,GOOGLE-INNISF-Saturday-00,1111068-GOOGLE-INNISF-Saturday-00,"West Innisfail/Belvedere",1,268203,8040010
804-50,GOOGLE-INNISF-Saturday-00,1111069-GOOGLE-INNISF-Saturday-00,"West Innisfail/Belvedere",1,268203,8040013
805-50,GOOGLE-INNISF-Saturday-00,1111078-GOOGLE-INNISF-Saturday-00,"Flying Fish Point",1,268203,8050006
805-50,GOOGLE-INNISF-Saturday-00,1111079-GOOGLE-INNISF-Saturday-00,"Central Arcade",0,268203,8050005
805-50,GOOGLE-INNISF-Saturday-00,1111080-GOOGLE-INNISF-Saturday-00,"Central Arcade",0,268203,8050005
805-50,GOOGLE-INNISF-Saturday-00,1111081-GOOGLE-INNISF-Saturday-00,"Flying Fish Point",1,268203,8050006
