trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
1732449-GOOGLE-KIL_MULS-Weekday-01,08:00:00,08:00:00,740106,1,0,0
1732449-GOOGLE-KIL_MULS-Weekday-01,08:00:00,08:00:00,740107,2,0,0
1732449-GOOGLE-KIL_MULS-Weekday-01,08:10:00,08:10:00,740109,3,0,0
1732449-GOOGLE-KIL_MULS-Weekday-01,,,740110,4,0,0
1732449-GOOGLE-KIL_MULS-Weekday-01,08:14:00,08:14:00,740111,5,0,0
1732449-GOOGLE-KIL_MULS-Weekday-01,08:14:00,08:14:00,740112,6,0,0
1732449-GOOGLE-KIL_MULS-Weekday-01,08:15:00,08:15:00,740113,7,0,0
1732449-GOOGLE-KIL_MULS-Weekday-01,08:16:00,08:16:00,740114,8,0,0
1732449-GOOGLE-KIL_MULS-Weekday-01,08:17:00,08:17:00,740115,9,0,0
1732449-GOOGLE-KIL_MULS-Weekday-01,08:18:00,08:18:00,740116,10,0,0
1732449-GOOGLE-KIL_MULS-Weekday-01,08:20:00,08:20:00,740117,11,0,0
1732449-GOOGLE-KIL_MULS-Weekday-01,08:20:00,08:20:00,740118,12,0,0
1732449-GOOGLE-KIL_MULS-Weekday-01,08:21:00,08:21:00,740119,13,0,0
1732449-GOOGLE-KIL_MULS-Weekday-01,08:22:00,08:22:00,740120,14,0,0
1732449-GOOGLE-KIL_MULS-Weekday-01,08:23:00,08:23:00,740121,15,0,0
1732449-GOOGLE-KIL_MULS-Weekday-01,08:24:00,08:24:00,740122,16,0,0
1732449-GOOGLE-KIL_MULS-Weekday-01,08:25:00,08:25:00,740123,17,0,0
1732449-GOOGLE-KIL_MULS-Weekday-01,08:28:00,08:28:00,740124,18,0,0
1732449-GOOGLE-KIL_MULS-Weekday-01,08:32:00,08:32:00,740125,19,0,0
1732449-GOOGLE-KIL_MULS-Weekday-01,08:33:00,08:33:00,740126,20,0,0
1732449-GOOGLE-KIL_MULS-Weekday-01,08:34:00,08:34:00,740127,21,0,0
1732449-GOOGLE-KIL_MULS-Weekday-01,08:35:00,08:35:00,740128,22,0,0
1732449-GOOGLE-KIL_MULS-Weekday-01,08:37:00,08:37:00,740129,23,0,0
1732449-GOOGLE-KIL_MULS-Weekday-01,08:38:00,08:38:00,740130,24,0,0
1732449-GOOGLE-KIL_MULS-Weekday-01,08:41:00,08:41:00,740131,25,0,0
1732449-GOOGLE-KIL_MULS-Weekday-01,08:44:00,08:44:00,740132,26,0,0
1732449-GOOGLE-KIL_MULS-Weekday-01,08:45:00,08:45:00,740133,27,0,0
1732449-GOOGLE-KIL_MULS-Weekday-01,08:52:00,08:52:00,740160,28,0,0
1732449-GOOGLE-KIL_MULS-Weekday-01,08:57:00,08:57:00,740134,29,0,0
1732449-GOOGLE-KIL_MULS-Weekday-01,09:04:00,09:04:00,740135,30,0,0
1732449-GOOGLE-KIL_MULS-Weekday-01,09:05:00,09:05:00,740136,31,0,0
1732449-GOOGLE-KIL_MULS-Weekday-01,09:07:00,09:07:00,740137,32,0,0
1732449-GOOGLE-KIL_MULS-Weekday-01,09:09:00,09:09:00,740138,33,0,0
1732449-GOOGLE-KIL_MULS-Weekday-01,09:10:00,09:10:00,740139,34,0,0
1732449-GOOGLE-KIL_MULS-Weekday-01,09:12:00,09:12:00,740140,35,0,0
