route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
895-168,GOOGLE-KIL_MULS-Weekday-01,1732449-GOOGLE-KIL_MULS-Weekday-01,"Inbound",0,388801,8950023
895-168,GOOGLE-KIL_MULS-Weekday-01,1732450-GOOGLE-KIL_MULS-Weekday-01,"Inbound",0,388802,8950023
895-168,GOOGLE-KIL_MULT-Weekday-01,1732349-GOOGLE-KIL_MULT-Weekday-01,"Inbound",0,,8950024
895-168,GOOGLE-KIL_MULT-Weekday-01,1732350-GOOGLE-KIL_MULT-Weekday-01,"Inbound",0,,8950026
895-168,GOOGLE-KIL_MULT-Weekday-01,1732351-GOOGLE-KIL_MULT-Weekday-01,"Inbound",0,,8950027
895-168,GOOGLE-KIL_MULT-Weekday-01,1732352-GOOGLE-KIL_MULT-Weekday-01,"Inbound",0,,8950029
895-168,GOOGLE-KIL_MULT-Weekday-01,1732353-GOOGLE-KIL_MULT-Weekday-01,"Inbound",0,,8950025
895-168,GOOGLE-KIL_MULT-Weekday-01,1732354-GOOGLE-KIL_MULT-Weekday-01,"Inbound",0,,8950028
895-168,GOOGLE-KIL_MULT-Saturday-01,1732451-GOOGLE-KIL_MULT-Saturday-01,"Inbound",0,388803,8950023
895-168,GOOGLE-KIL_MULT-Saturday-01,1732452-GOOGLE-KIL_MULT-Saturday-01,"Inbound",0,388803,8950023
