shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
MK100005,-21.1427381494,149.183115305,10001
MK100005,-21.1428765953,149.183094446,10002
MK100005,-21.1429673684,149.183079618,10003
MK100005,-21.1427975755,149.181832068,10004
MK100005,-21.1426386357,149.180586166,10005
MK100005,-21.1424761677,149.179344206,10006
MK100005,-21.1423029814,149.178107332,10007
MK100005,-21.1422949328,149.178030617,10008
MK100005,-21.1421532048,149.176948705,10009
MK100005,-21.1420969805,149.176456892,10010
MK100005,-21.1421160077,149.17618141,10011
MK100005,-21.142172736,149.17593765,10012
MK100005,-21.1423060938,149.175691921,10013
MK100005,-21.1424575367,149.175488034,10014
MK100005,-21.142666732,149.175324968,10015
MK100005,-21.1428867569,149.175202007,10016
MK100005,-21.1434669257,149.175089019,10017
MK100005,-21.1451968796,149.174562818,10018
MK100005,-21.1456168662,149.174347212,10019
MK100005,-21.1459467749,149.174097382,10020
MK100005,-21.1469600067,149.173151127,10021
MK100005,-21.1472663957,149.172858628,10022
MK100005,-21.1477739357,149.172366719,10023
MK100005,-21.1483728506,149.17180707,10024
MK100005,-21.1484398863,149.171739959,10025
MK100005,-21.1488336287,149.171361551,10026
MK100005,-21.1488336287,149.171361551,20001
MK100005,-21.1490172488,149.171184706,20002
MK100005,-21.1502008673,149.170035941,20003
MK100005,-21.1509243157,149.169359601,20004
MK100005,-21.1510416694,149.169244075,20005
MK100005,-21.1515755434,149.168720692,20006
MK100005,-21.1522544969,149.168071447,20007
MK100005,-21.1527078016,149.167654944,20008
MK100005,-21.1527078016,149.167654944,30001
MK100005,-21.1529092724,149.167469937,30002
MK100005,-21.153084904,149.167299058,30003
MK100005,-21.1536046287,149.166788525,30004
MK100005,-21.1540095229,149.166425187,30005
MK100005,-21.1548127432,149.16564771,30006
MK100005,-21.1552293611,149.165244638,30007
MK100005,-21.1552293611,149.165244638,40001
MK100005,-21.1555065263,149.164976899,40002
MK100005,-21.156460006,149.164063791,40003
MK100005,-21.1571300288,149.16341954,40004
MK100005,-21.1578081836,149.162776036,40005
MK100005,-21.1584890832,149.162134378,40006
MK100005,-21.1589396849,149.161718869,40007
MK100005,-21.1589396849,149.161718869,50001
MK100005,-21.159614727,149.161097546,50002
MK100005,-21.1610197397,149.159771725,50003
MK100005,-21.1615057278,149.159246623,50004
MK100005,-21.1620199285,149.158534232,50005
MK100005,-21.1626081139,149.157664139,50006
MK100005,-21.162912564,149.157287963,50007
MK100005,-21.1632047804,149.156968839,50008
MK100005,-21.1640180328,149.156198693,50009
MK100005,-21.1645668005,149.155697909,50010
MK100005,-21.1651682517,149.155173641,50011
MK100005,-21.1655269114,149.154841248,50012
MK100005,-21.1655269114,149.154841248,60001
MK100005,-21.1657088798,149.154672098,60002
MK100005,-21.1662258436,149.154200975,60003
MK100005,-21.16661632,149.153839866,60004
MK100005,-21.1668049476,149.153685927,60005
MK100005,-21.1670323574,149.153571374,60006
MK100005,-21.1672303635,149.153512396,60007
MK100005,-21.1674712217,149.153473465,60008
MK100005,-21.1707790214,149.15300028,60009
MK100005,-21.1743072012,149.152500196,60010
MK100005,-21.1759201106,149.152266077,60011
MK100005,-21.1762305399,149.152192639,60012
MK100005,-21.1779645552,149.151968836,60013
MK100005,-21.1798225847,149.151685069,60014
MK100005,-21.1853512527,149.150899317,60015
MK100005,-21.1908341461,149.150163711,60016
MK100005,-21.1963843978,149.149376251,60017
MK100005,-21.1983363843,149.149099556,60018
MK100005,-21.1989113212,149.148996142,60019
MK100005,-21.1992263864,149.148888892,60020
MK100005,-21.1996538766,149.148727744,60021
MK100005,-21.2002937503,149.148426419,60022
MK100005,-21.2018317016,149.147636222,60023
MK100005,-21.2022858829,149.147458983,60024
MK100005,-21.2027999794,149.147298463,60025
MK100005,-21.2035430322,149.147131031,60026
MK100005,-21.2043646679,149.14696829,60027
MK100005,-21.2072508516,149.146560485,60028
MK100005,-21.2135170019,149.145761782,60029
MK100005,-21.2143590137,149.145740853,60030
MK100005,-21.2148675845,149.145772842,60031
MK100005,-21.2156999201,149.145920508,60032
MK100005,-21.2162868752,149.146066858,60033
MK100005,-21.2166403893,149.146181762,60034
MK100005,-21.2175022307,149.146475846,60035
MK100005,-21.2190380087,149.147012149,60036
MK100005,-21.2203007687,149.147443004,60037
MK100005,-21.221273844,149.147789042,60038
MK100005,-21.2215083839,149.147868564,60039
MK100005,-21.2215083839,149.147868564,70001
MK100005,-21.2223311314,149.148149249,70002
MK100005,-21.2230125665,149.148324902,70003
MK100005,-21.2236975651,149.148419653,70004
MK100005,-21.2245635446,149.148421193,70005
MK100005,-21.2270845516,149.148177676,70006
MK100005,-21.2339868128,149.147505591,70007
MK100005,-21.2343009264,149.147475292,70008
MK100005,-21.2350270637,149.147396751,70009
MK100005,-21.2350270637,149.147396751,80001
MK100005,-21.2368500687,149.147200195,80002
MK100005,-21.2473561501,149.145987661,80003
MK100005,-21.2496492359,149.145718182,80004
MK100005,-21.2560303139,149.14497749,80005
MK100005,-21.257518588,149.144738557,80006
MK100005,-21.2581693823,149.144481995,80007
MK100005,-21.2581693823,149.144481995,90001
MK100005,-21.2583642533,149.144404747,90002
MK100005,-21.2596676585,149.14377417,90003
MK100005,-21.2603785947,149.14326873,90004
MK100005,-21.2613994016,149.142469409,90005
MK100005,-21.2620520004,149.141977024,90006
MK100005,-21.2626832482,149.141497702,90007
MK100005,-21.2637476858,149.140674121,90008
MK100005,-21.2647106316,149.139948444,90009
MK100005,-21.2654898201,149.139430598,90010
MK100005,-21.2661438342,149.139197004,90011
MK100005,-21.2669340178,149.139001231,90012
MK100005,-21.2688708617,149.138853452,90013
MK100005,-21.2695835786,149.138858894,90014
MK100005,-21.2702459116,149.138987866,90015
MK100005,-21.2707619443,149.139148567,90016
MK100005,-21.2710597062,149.139270704,90017
MK100005,-21.2716948133,149.139589006,90018
MK100005,-21.272267309,149.140009028,90019
MK100005,-21.2729046003,149.140697778,90020
MK100005,-21.273455073,149.141534115,90021
MK100005,-21.2737872745,149.142371345,90022
MK100005,-21.274635988,149.14480704,90023
MK100005,-21.2749683233,149.145532649,90024
MK100005,-21.275563724,149.146480442,90025
MK100005,-21.2775581503,149.149515733,90026
MK100005,-21.2801830842,149.153577929,90027
MK100005,-21.2809162012,149.154514508,90028
MK100005,-21.28200459,149.155682453,90029
MK100005,-21.2837237733,149.157257471,90030
MK100005,-21.2854086684,149.158832454,90031
MK100005,-21.2877578742,149.161058144,90032
MK100005,-21.2924566703,149.165450046,90033
MK100005,-21.2941080346,149.166901919,90034
MK100005,-21.2951047205,149.167690322,90035
MK100005,-21.2989992513,149.170479702,90036
MK100005,-21.3025203831,149.172955482,90037
MK100005,-21.3038832706,149.173901958,90038
MK100005,-21.3054305598,149.175182498,90039
MK100005,-21.306656784,149.17658497,90040
MK100005,-21.3073670223,149.177630233,90041
MK100005,-21.3078722401,149.178664452,90042
MK100005,-21.308406539,149.180105108,90043
MK100005,-21.3101298339,149.185402056,90044
MK100005,-21.3108168347,149.186697312,90045
MK100005,-21.311641864,149.187755094,90046
MK100005,-21.3120657558,149.188149408,90047
MK100005,-21.3126617091,149.18865287,90048
MK100005,-21.3134528773,149.189133001,90049
MK100005,-21.3148743865,149.189723922,90050
MK100005,-21.315710969,149.190019024,90051
MK100005,-21.3162722726,149.190227861,90052
MK100005,-21.3168778818,149.19044133,90053
MK100005,-21.3194361946,149.191360063,90054
MK100005,-21.3207425309,149.191804778,90055
MK100005,-21.3207425309,149.191804778,100001
MK100005,-21.3221852304,149.192296038,100002
MK100005,-21.3247409826,149.193261099,100003
MK100005,-21.3256275549,149.193493326,100004
MK100005,-21.3265138291,149.193672613,100005
MK100005,-21.3279026749,149.193698361,100006
MK100005,-21.3327886942,149.193004119,100007
MK100005,-21.3336739267,149.192978358,100008
MK100005,-21.3342728317,149.19305531,100009
MK100005,-21.3351829023,149.193209911,100010
MK100005,-21.336454154,149.193618987,100011
MK100005,-21.3371954242,149.1940071,100012
MK100005,-21.3408830497,149.196474872,100013
MK100005,-21.3418890827,149.196963047,100014
MK100005,-21.3427506456,149.19724602,100015
MK100005,-21.3439636521,149.197513182,100016
MK100005,-21.3445990556,149.197489071,100017
MK100005,-21.3451469379,149.197503809,100018
MK100005,-21.3457687747,149.197478123,100019
MK100005,-21.3466790568,149.197323664,100020
MK100005,-21.3475647786,149.197040812,100021
MK100005,-21.3482842761,149.196707366,100022
MK100005,-21.3498880356,149.195987096,100023
MK100005,-21.350653529,149.195653411,100024
MK100005,-21.3511572904,149.195472848,100025
MK100005,-21.3515653892,149.195369862,100026
MK100005,-21.3529300415,149.195164155,100027
MK100005,-21.3535052302,149.195189728,100028
MK100005,-21.35431883,149.195266914,100029
MK100005,-21.3550367461,149.195420719,100030
MK100005,-21.3557802042,149.195626825,100031
MK100005,-21.3568103524,149.19606433,100032
MK100005,-21.3607619856,149.198558325,100033
MK100005,-21.3626535589,149.199431982,100034
MK100005,-21.3642581529,149.200101214,100035
MK100005,-21.3658633133,149.200795481,100036
MK100005,-21.3668450432,149.201206366,100037
MK100005,-21.3692386771,149.202182681,100038
MK100005,-21.3696713025,149.202286109,100039
MK100005,-21.3706279425,149.202465568,100040
MK100005,-21.3732869931,149.202774414,100041
MK100005,-21.3754184013,149.203006361,100042
MK100005,-21.3775981797,149.203263063,100043
MK100005,-21.3813820215,149.204086055,100044
MK100005,-21.3831542644,149.204470795,100045
MK100005,-21.3852619786,149.20501061,100046
MK100005,-21.3894769578,149.205911135,100047
MK100005,-21.3929502051,149.206323248,100048
MK100005,-21.3937162384,149.206450832,100049
MK100005,-21.3946019133,149.206683204,100050
MK100005,-21.3954889761,149.207016678,100051
MK100005,-21.3962307676,149.207428073,100052
MK100005,-21.397356616,149.208148379,100053
MK100005,-21.3981614169,149.208713236,100054
MK100005,-21.3985817169,149.208989425,100055
MK100005,-21.39901402,149.209277828,100056
MK100005,-21.399623103,149.209605014,100057
MK100005,-21.4001841588,149.209842899,100058
MK100005,-21.4026047066,149.210693576,100059
MK100005,-21.4029292354,149.21080368,100060
MK100005,-21.4061258174,149.211905035,100061
MK100005,-21.4087502551,149.212796744,100062
MK100005,-21.4109896772,149.21345662,100063
MK100005,-21.4120303771,149.213763074,100064
MK100005,-21.4156233249,149.214960274,100065
MK100005,-21.4158131623,149.215017994,100066
MK100005,-21.4174002084,149.215550245,100067
MK100005,-21.4186213728,149.215938767,100068
MK100005,-21.4191086269,149.216104421,100069
MK100005,-21.419570333,149.216257247,100070
MK100005,-21.4197622476,149.216366938,100071
MK100005,-21.4205167102,149.216621075,100072
MK100005,-21.4207393949,149.216695292,100073
