shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
2500022,-19.179977283,146.837776677,10001
2500022,-19.1799240119,146.837931102,10002
2500022,-19.1788220803,146.839803363,10003
2500022,-19.177808619,146.839228603,10004
2500022,-19.1774372055,146.839019019,10005
2500022,-19.1774372055,146.839019019,20001
2500022,-19.1767667624,146.838638812,20002
2500022,-19.1757241987,146.838054735,20003
2500022,-19.1750473706,146.837671933,20004
2500022,-19.1750473706,146.837671933,30001
2500022,-19.1746942459,146.83747114,30002
2500022,-19.1743211974,146.838200829,30003
2500022,-19.1736952292,146.83940766,30004
2500022,-19.1735453612,146.839712433,30005
2500022,-19.1735453612,146.839712433,40001
2500022,-19.1730073652,146.840807094,40002
2500022,-19.172941885,146.841373814,40003
2500022,-19.1732955836,146.842553563,40004
2500022,-19.1740912106,146.843258597,40005
2500022,-19.1735757269,146.845129727,40006
2500022,-19.1720760909,146.845693096,40007
2500022,-19.1714256053,146.845691776,40008
2500022,-19.1705926431,146.846737754,40009
2500022,-19.1705010502,146.846769569,40010
2500022,-19.1705010502,146.846769569,50001
2500022,-19.167661829,146.847734052,50002
2500022,-19.1669402782,146.847786489,50003
2500022,-19.1639241797,146.846835635,50004
2500022,-19.1639241797,146.846835635,60001
2500022,-19.1633140237,146.846642506,60002
2500022,-19.1630909762,146.846724658,60003
2500022,-19.1628396211,146.846821118,60004
2500022,-19.1615508153,146.847314072,60005
2500022,-19.1606063221,146.844589581,60006
2500022,-19.1606063221,146.844589581,70001
2500022,-19.1606063221,146.844589581,70002
2500022,-19.1606063221,146.844589581,80001
2500022,-19.1604478724,146.844131597,80002
2500022,-19.1599338117,146.844414878,80003
2500022,-19.1596683365,146.844733392,80004
2500022,-19.1600720468,146.845288271,80005
2500022,-19.160553189,146.846674321,80006
2500022,-19.1608659417,146.847574359,80007
2500022,-19.1615508153,146.847314072,80008
2500022,-19.1616434706,146.847581383,80009
2500022,-19.1616434706,146.847581383,90001
2500022,-19.1619243847,146.848390783,90002
2500022,-19.1591488607,146.849457857,90003
2500022,-19.1590588843,146.849350441,90004
2500022,-19.1587098327,146.848895761,90005
2500022,-19.1587098327,146.848895761,100001
2500022,-19.1584406828,146.848543193,100002
2500022,-19.1575577721,146.847435288,100003
2500022,-19.1569017052,146.848017313,100004
2500022,-19.1569017052,146.848017313,110001
2500022,-19.1567915745,146.848113241,110002
2500022,-19.1556073186,146.849147553,110003
2500022,-19.1553286985,146.848325786,110004
2500022,-19.1553613459,146.848092634,110005
2500022,-19.1548165299,146.847595078,110006
2500022,-19.1548165299,146.847595078,120001
2500022,-19.1546643098,146.847455902,120002
2500022,-19.1549813505,146.847172404,120003
2500022,-19.155603359,146.846621001,120004
2500022,-19.1557561492,146.846482777,120005
2500022,-19.1563696459,146.845945886,120006
2500022,-19.1543585753,146.843420254,120007
2500022,-19.153967103,146.842934994,120008
2500022,-19.1534150173,146.843425103,120009
2500022,-19.1534150173,146.843425103,130001
