route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
250-189,GOOGLE-MAG_MUL-Weekday-00,1047407-GOOGLE-MAG_MUL-Weekday-00,"Picnic Bay to Horseshoe Bay via Ferry",0,255402,2500022
250-189,GOOGLE-MAG_MUL-Weekday-00,1047408-GOOGLE-MAG_MUL-Weekday-00,"Picnic Bay to Horseshoe Bay via Ferry",0,255401,2500022
250-189,GOOGLE-MAG_MUL-Weekday-00,1047409-GOOGLE-MAG_MUL-Weekday-00,"Picnic Bay to Horseshoe Bay via Ferry",0,255402,2500022
250-189,GOOGLE-MAG_MUL-Weekday-00,1047410-GOOGLE-MAG_MUL-Weekday-00,"Picnic Bay to Horseshoe Bay via Ferry",0,255401,2500022
250-189,GOOGLE-MAG_MUL-Weekday-00,1047411-GOOGLE-MAG_MUL-Weekday-00,"Picnic Bay to Horseshoe Bay via Ferry",0,255402,2500022
250-189,GOOGLE-MAG_MUL-Weekday-00,1047412-GOOGLE-MAG_MUL-Weekday-00,"Picnic Bay to Horseshoe Bay via Ferry",0,255401,2500022
250-189,GOOGLE-MAG_MUL-Weekday-00,1047413-GOOGLE-MAG_MUL-Weekday-00,"Picnic Bay to Horseshoe Bay via Ferry",0,255402,2500022
250-189,GOOGLE-MAG_MUL-Weekday-00,1047414-GOOGLE-MAG_MUL-Weekday-00,"Picnic Bay to Horseshoe Bay via Ferry",0,255401,2500022
250-189,GOOGLE-MAG_MUL-Weekday-00,1047415-GOOGLE-MAG_MUL-Weekday-00,"Picnic Bay to Horseshoe Bay via Ferry",0,255402,2500022
250-189,GOOGLE-MAG_MUL-Weekday-00,1047416-GOOGLE-MAG_MUL-Weekday-00,"Picnic Bay to Horseshoe Bay via Ferry",0,255401,2500022
250-189,GOOGLE-MAG_MUL-Weekday-00,1047417-GOOGLE-MAG_MUL-Weekday-00,"Picnic Bay to Horseshoe Bay via Ferry",0,255402,2500022
250-189,GOOGLE-MAG_MUL-Weekday-00,1047418-GOOGLE-MAG_MUL-Weekday-00,"Picnic Bay to Horseshoe Bay via Ferry",0,255404,2500022
250-189,GOOGLE-MAG_MUL-Weekday-00,1047419-GOOGLE-MAG_MUL-Weekday-00,"Picnic Bay to Horseshoe Bay via Ferry",0,255403,2500022
250-189,GOOGLE-MAG_MUL-Weekday-00,1047420-GOOGLE-MAG_MUL-Weekday-00,"Picnic Bay to Horseshoe Bay via Ferry",0,255404,2500022
250-189,GOOGLE-MAG_MUL-Weekday-00,1047421-GOOGLE-MAG_MUL-Weekday-00,"Picnic Bay to Horseshoe Bay via Ferry",0,255403,2500022
250-189,GOOGLE-MAG_MUL-Weekday-00,1047422-GOOGLE-MAG_MUL-Weekday-00,"Picnic Bay to Horseshoe Bay via Ferry",0,255404,2500022
250-189,GOOGLE-MAG_MUL-Weekday-00,1047423-GOOGLE-MAG_MUL-Weekday-00,"Picnic Bay to Horseshoe Bay via Ferry",0,255403,2500022
250-189,GOOGLE-MAG_MUL-Weekday-00,1047424-GOOGLE-MAG_MUL-Weekday-00,"Picnic Bay to Horseshoe Bay via Ferry",0,255404,2500022
250-189,GOOGLE-MAG_MUL-Weekday-00-1110000,1047425-GOOGLE-MAG_MUL-Weekday-00-1110000,"Picnic Bay to Horseshoe Bay via Ferry",0,255406,2500022
250-189,GOOGLE-MAG_MUL-Weekday-00-0000100,1047426-GOOGLE-MAG_MUL-Weekday-00-0000100,"Picnic Bay to Horseshoe Bay via Ferry",0,255403,2500022
250-189,GOOGLE-MAG_MUL-Weekday-00-0000100,1047427-GOOGLE-MAG_MUL-Weekday-00-0000100,"Picnic Bay to Horseshoe Bay via Ferry",0,255405,2500022
