shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10114,-25.5373915238,152.701872251,10001
10114,-25.5378280092,152.70247336,10002
10114,-25.5385144122,152.703411285,10003
10114,-25.5391835513,152.704299495,10004
10114,-25.539409796,152.704092899,10005
10114,-25.539409796,152.704092899,20001
10114,-25.5395549165,152.703960159,20002
10114,-25.5407366661,152.70290813,20003
10114,-25.5422852519,152.70151674,20004
10114,-25.5419656113,152.701090511,20005
10114,-25.5419656113,152.701090511,30001
10114,-25.5416197104,152.70062951,30002
10114,-25.5431583182,152.699227156,30003
10114,-25.5438229468,152.700105434,30004
10114,-25.5444223832,152.700901264,30005
10114,-25.545112388,152.701829267,30006
10114,-25.5461645901,152.703245141,30007
10114,-25.5461645901,152.703245141,40001
10114,-25.5463330134,152.703471682,40002
10114,-25.545791285,152.703963757,40003
10114,-25.5453153495,152.704392954,40004
10114,-25.5447889432,152.704872042,40005
10114,-25.544125226,152.703983775,40006
10114,-25.5435882202,152.703239539,40007
10114,-25.5428810707,152.702313571,40008
10114,-25.5422852519,152.70151674,40009
10114,-25.5416197104,152.70062951,40010
10114,-25.5411162282,152.699947929,40011
10114,-25.5409387651,152.699719434,40012
10114,-25.5402189245,152.6987806,40013
10114,-25.5397372746,152.698180601,40014
10114,-25.5391622628,152.697412624,40015
10114,-25.5390119464,152.697212933,40016
10114,-25.5388370649,152.697361681,40017
10114,-25.5387125906,152.697431669,40018
10114,-25.5385046542,152.697753691,40019
10114,-25.538546715,152.698006407,40020
10114,-25.5387260566,152.698268733,40021
10114,-25.5387260566,152.698268733,50001
10114,-25.5387351156,152.698282645,50002
10114,-25.5390701364,152.698718771,50003
10114,-25.5395780087,152.699336621,50004
10114,-25.5386513334,152.700139201,50005
10114,-25.5377995421,152.700910727,50006
10114,-25.5371270949,152.701507612,50007
10114,-25.536376363,152.70047133,50008
10114,-25.5361471916,152.700127512,50009
10114,-25.5348169544,152.698336244,50010
10114,-25.5348169544,152.698336244,60001
10114,-25.5341975591,152.697502717,60002
10114,-25.5341975591,152.697502717,70001
10114,-25.5338498244,152.697033798,70002
10114,-25.5331906698,152.696191428,70003
10114,-25.532518897,152.695363032,70004
10114,-25.5317636047,152.694325844,70005
10114,-25.5316286708,152.694143051,70006
10114,-25.5316286708,152.694143051,80001
10114,-25.5312655239,152.693650304,80002
10114,-25.5309195913,152.693185384,80003
10114,-25.5306270738,152.692786021,80004
10114,-25.5303427097,152.692399577,80005
10114,-25.5299967627,152.691929688,80006
10114,-25.5292821582,152.690928269,80007
10114,-25.5284245288,152.68976699,80008
10114,-25.5284245288,152.68976699,90001
10114,-25.5283502674,152.689666659,90002
10114,-25.5276619835,152.688734868,90003
10114,-25.5271149756,152.687994807,90004
10114,-25.5271149756,152.687994807,100001
10114,-25.5269709761,152.687799113,100002
10114,-25.5255191732,152.685817346,100003
10114,-25.5251034795,152.685258104,100004
