trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
498764-GOOGLE-MAHV_MUL-Weekday-02,08:52:00,08:52:00,840161,1,0,0
498764-GOOGLE-MAHV_MUL-Weekday-02,08:55:00,08:55:00,840113,2,0,0
498764-GOOGLE-MAHV_MUL-Weekday-02,08:57:00,08:57:00,840114,3,0,0
498764-GOOGLE-MAHV_MUL-Weekday-02,09:00:00,09:00:00,840115,4,0,0
498764-GOOGLE-MAHV_MUL-Weekday-02,09:01:00,09:01:00,840116,5,0,0
498764-GOOGLE-MAHV_MUL-Weekday-02,09:01:00,09:01:00,840117,6,0,0
498764-GOOGLE-MAHV_MUL-Weekday-02,09:04:00,09:04:00,840118,7,0,0
498764-GOOGLE-MAHV_MUL-Weekday-02,09:05:00,09:05:00,840119,8,0,0
498764-GOOGLE-MAHV_MUL-Weekday-02,09:05:00,09:05:00,840120,9,0,0
498764-GOOGLE-MAHV_MUL-Weekday-02,09:06:00,09:06:00,840121,10,0,0
498764-GOOGLE-MAHV_MUL-Weekday-02,09:07:00,09:07:00,840122,11,0,0
498764-GOOGLE-MAHV_MUL-Weekday-02,09:08:00,09:08:00,840123,12,0,0
498764-GOOGLE-MAHV_MUL-Weekday-02,09:08:00,09:08:00,840124,13,0,0
498764-GOOGLE-MAHV_MUL-Weekday-02,09:10:00,09:10:00,840125,14,0,0
498764-GOOGLE-MAHV_MUL-Weekday-02,09:11:00,09:11:00,840126,15,0,0
498764-GOOGLE-MAHV_MUL-Weekday-02,09:11:00,09:11:00,840127,16,0,0
498764-GOOGLE-MAHV_MUL-Weekday-02,09:12:00,09:12:00,840128,17,0,0
498764-GOOGLE-MAHV_MUL-Weekday-02,09:14:00,09:14:00,840129,18,0,0
498764-GOOGLE-MAHV_MUL-Weekday-02,09:14:00,09:14:00,840130,19,0,0
498764-GOOGLE-MAHV_MUL-Weekday-02,09:15:00,09:15:00,840131,20,0,0
498764-GOOGLE-MAHV_MUL-Weekday-02,09:17:00,09:17:00,840132,21,0,0
498764-GOOGLE-MAHV_MUL-Weekday-02,09:20:00,09:20:00,840114,22,0,0
498764-GOOGLE-MAHV_MUL-Weekday-02,09:23:00,09:23:00,840115,23,0,0
498764-GOOGLE-MAHV_MUL-Weekday-02,09:26:00,09:26:00,840161,24,0,0
498764-GOOGLE-MAHV_MUL-Weekday-02,09:29:00,09:29:00,840113,25,0,0
498765-GOOGLE-MAHV_MUL-Weekday-02,09:54:00,09:54:00,840161,1,0,0
