route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
4-43,GOOGLE-MAHV_MUL-Weekday-02,498764-GOOGLE-MAHV_MUL-Weekday-02,"City - Granville - City",0,435822,40026
4-43,GOOGLE-MAHV_MUL-Weekday-02,498765-GOOGLE-MAHV_MUL-Weekday-02,"City - Granville - City",0,435807,40027
4-43,GOOGLE-MAHV_MUL-Weekday-02,498766-GOOGLE-MAHV_MUL-Weekday-02,"City - Granville - City",0,435822,40026
4-43,GOOGLE-MAHV_MUL-Weekday-02,498767-GOOGLE-MAHV_MUL-Weekday-02,"City - Granville - City",0,435808,40026
4-43,GOOGLE-MAHV_MUL-Weekday-02,498768-GOOGLE-MAHV_MUL-Weekday-02,"City - Granville - City",0,435821,40080
4-43,GOOGLE-MAHV_MUL-Weekday-02,498769-GOOGLE-MAHV_MUL-Weekday-02,"City - Granville - City",0,435817,40082
6-43,GOOGLE-MAHV_MUL-Weekday-02,498771-GOOGLE-MAHV_MUL-Weekday-02,"City - Tinana - Chelsea - City",0,435802,60009
6-43,GOOGLE-MAHV_MUL-Weekday-02,498772-GOOGLE-MAHV_MUL-Weekday-02,"City - Tinana - Chelsea - City",0,435815,60009
6-43,GOOGLE-MAHV_MUL-Weekday-02,498773-GOOGLE-MAHV_MUL-Weekday-02,"City - Tinana - Chelsea - City",0,435815,60012
6-43,GOOGLE-MAHV_MUL-Weekday-02,498774-GOOGLE-MAHV_MUL-Weekday-02,"City - Tinana - Chelsea - City",0,435801,60010
20-43,GOOGLE-MAHV_MUL-Weekday-02,498778-GOOGLE-MAHV_MUL-Weekday-02,"Pialba - Eli Waters - Pialba",0,435830,200056
20-43,GOOGLE-MAHV_MUL-Weekday-02,498779-GOOGLE-MAHV_MUL-Weekday-02,"Pialba - Eli Waters - Pialba",0,435812,200053
20-43,GOOGLE-MAHV_MUL-Weekday-02,498780-GOOGLE-MAHV_MUL-Weekday-02,"Pialba - Eli Waters - Pialba",0,435812,200054
20-43,GOOGLE-MAHV_MUL-Weekday-02,498781-GOOGLE-MAHV_MUL-Weekday-02,"Pialba - Eli Waters - Pialba",0,435830,200009
20-43,GOOGLE-MAHV_MUL-Weekday-02,498782-GOOGLE-MAHV_MUL-Weekday-02,"Pialba - Eli Waters - Pialba",0,435820,200009
20-43,GOOGLE-MAHV_MUL-Weekday-02,498783-GOOGLE-MAHV_MUL-Weekday-02,"Pialba - Eli Waters - Pialba",0,435831,200009
20-43,GOOGLE-MAHV_MUL-Weekday-02,498784-GOOGLE-MAHV_MUL-Weekday-02,"Pialba - Eli Waters - Pialba",0,435827,200009
20-43,GOOGLE-MAHV_MUL-Weekday-02,498785-GOOGLE-MAHV_MUL-Weekday-02,"Pialba - Eli Waters - Pialba",0,435830,200012
20-43,GOOGLE-MAHV_MUL-Weekday-02,498786-GOOGLE-MAHV_MUL-Weekday-02,"Pialba - Eli Waters - Pialba",0,435830,200055
1A-43,GOOGLE-MAHV_MUL-Weekday-02,498787-GOOGLE-MAHV_MUL-Weekday-02,"Hervey Bay - Craignish - Hervey Bay",0,435828,1A0017
1A-43,GOOGLE-MAHV_MUL-Weekday-02,498788-GOOGLE-MAHV_MUL-Weekday-02,"Hervey Bay - Craignish - Hervey Bay",0,435830,1A0018
1A-43,GOOGLE-MAHV_MUL-Weekday-02,498789-GOOGLE-MAHV_MUL-Weekday-02,"Hervey Bay - Craignish - Hervey Bay",0,435830,1A0019
1A-43,GOOGLE-MAHV_MUL-Weekday-02,498790-GOOGLE-MAHV_MUL-Weekday-02,"Hervey Bay - Craignish - Hervey Bay",0,435806,1A0016
16-43,GOOGLE-MAHV_MUL-Weekday-02,498791-GOOGLE-MAHV_MUL-Weekday-02,"Pialba - Boat Harbour - Torquay - Pialba",0,435819,160003
16-43,GOOGLE-MAHV_MUL-Weekday-02,498792-GOOGLE-MAHV_MUL-Weekday-02,"Pialba - Boat Harbour - Torquay - Pialba",0,435819,160003
16-43,GOOGLE-MAHV_MUL-Weekday-02,498793-GOOGLE-MAHV_MUL-Weekday-02,"Pialba - Boat Harbour - Torquay - Pialba",0,435819,160003
16-43,GOOGLE-MAHV_MUL-Weekday-02,498794-GOOGLE-MAHV_MUL-Weekday-02,"Pialba - Boat Harbour - Torquay - Pialba",0,435819,160003
16-43,GOOGLE-MAHV_MUL-Weekday-02,498795-GOOGLE-MAHV_MUL-Weekday-02,"Pialba - Boat Harbour - Torquay - Pialba",0,435819,160003
16-43,GOOGLE-MAHV_MUL-Weekday-02,498796-GOOGLE-MAHV_MUL-Weekday-02,"Pialba - Boat Harbour - Torquay - Pialba",0,435819,160003
16-43,GOOGLE-MAHV_MUL-Weekday-02,498797-GOOGLE-MAHV_MUL-Weekday-02,"Pialba - Boat Harbour - Torquay - Pialba",0,435819,160003
16-43,GOOGLE-MAHV_MUL-Weekday-02,498798-GOOGLE-MAHV_MUL-Weekday-02,"Pialba - Boat Harbour - Torquay - Pialba",0,435819,160003
16-43,GOOGLE-MAHV_MUL-Weekday-02,498799-GOOGLE-MAHV_MUL-Weekday-02,"Pialba - Boat Harbour - Torquay - Pialba",0,435819,160003
16-43,GOOGLE-MAHV_MUL-Weekday-02,498800-GOOGLE-MAHV_MUL-Weekday-02,"Pialba - Boat Harbour - Torquay - Pialba",0,435819,160003
16-43,GOOGLE-MAHV_MUL-Weekday-02,498801-GOOGLE-MAHV_MUL-Weekday-02,"Pialba - Boat Harbour - Torquay - Pialba",0,435819,160003
17-43,GOOGLE-MAHV_MUL-Weekday-02,498802-GOOGLE-MAHV_MUL-Weekday-02,"Pilaba - Urangan Central - Pialba",0,435827,170002
17-43,GOOGLE-MAHV_MUL-Weekday-02,498803-GOOGLE-MAHV_MUL-Weekday-02,"Pilaba - Urangan Central - Pialba",0,435827,170002
17-43,GOOGLE-MAHV_MUL-Weekday-02,498804-GOOGLE-MAHV_MUL-Weekday-02,"Pilaba - Urangan Central - Pialba",0,435829,170002
18-43,GOOGLE-MAHV_MUL-Weekday-02,498805-GOOGLE-MAHV_MUL-Weekday-02,"Pialba - Opposite Urangan Central - Pialba",0,435820,180006
18-43,GOOGLE-MAHV_MUL-Weekday-02,498806-GOOGLE-MAHV_MUL-Weekday-02,"Pialba - Opposite Urangan Central - Pialba",0,435820,180006
18-43,GOOGLE-MAHV_MUL-Weekday-02,498807-GOOGLE-MAHV_MUL-Weekday-02,"Pialba - Opposite Urangan Central - Pialba",0,435820,180006
18-43,GOOGLE-MAHV_MUL-Weekday-02,498808-GOOGLE-MAHV_MUL-Weekday-02,"Pialba - Opposite Urangan Central - Pialba",0,435825,180006
18-43,GOOGLE-MAHV_MUL-Weekday-02,498809-GOOGLE-MAHV_MUL-Weekday-02,"Pialba - Opposite Urangan Central - Pialba",0,435820,180005
1B-43,GOOGLE-MAHV_MUL-Weekday-02,498810-GOOGLE-MAHV_MUL-Weekday-02,"Hervey Bay - Burrum Heads - Toogoom - Hervey Bay",0,435812,1B0008
1B-43,GOOGLE-MAHV_MUL-Weekday-02,498811-GOOGLE-MAHV_MUL-Weekday-02,"Outbound",1,435827,1B0009
5-43,GOOGLE-MAHV_MUL-Weekday-02,498812-GOOGLE-MAHV_MUL-Weekday-02,"Maryborough - Hervey Bay - Maryborough Clockwise",0,435801,50039
5-43,GOOGLE-MAHV_MUL-Weekday-02,498813-GOOGLE-MAHV_MUL-Weekday-02,"Maryborough - Hervey Bay - Maryborough Clockwise",0,435805,50040
5-43,GOOGLE-MAHV_MUL-Weekday-02,498814-GOOGLE-MAHV_MUL-Weekday-02,"Maryborough - Hervey Bay - Maryborough Clockwise",0,435808,50041
5-43,GOOGLE-MAHV_MUL-Weekday-02,498815-GOOGLE-MAHV_MUL-Weekday-02,"Maryborough - Hervey Bay - Maryborough Clockwise",0,435823,50041
5-43,GOOGLE-MAHV_MUL-Weekday-02,498816-GOOGLE-MAHV_MUL-Weekday-02,"Maryborough - Hervey Bay - Maryborough Clockwise",0,435805,50041
5-43,GOOGLE-MAHV_MUL-Weekday-02,498817-GOOGLE-MAHV_MUL-Weekday-02,"Maryborough - Hervey Bay - Maryborough Clockwise",0,435808,50041
5-43,GOOGLE-MAHV_MUL-Weekday-02,498818-GOOGLE-MAHV_MUL-Weekday-02,"Maryborough - Hervey Bay - Maryborough Clockwise",0,435823,50042
5-43,GOOGLE-MAHV_MUL-Weekday-02,498819-GOOGLE-MAHV_MUL-Weekday-02,"Maryborough - Hervey Bay - Maryborough Clockwise",0,435805,50042
5-43,GOOGLE-MAHV_MUL-Weekday-02,498820-GOOGLE-MAHV_MUL-Weekday-02,"Maryborough - Hervey Bay - Maryborough Clockwise",0,435807,50043
5-43,GOOGLE-MAHV_MUL-Weekday-02,498821-GOOGLE-MAHV_MUL-Weekday-02,"Maryborough - Hervey Bay - Maryborough Clockwise",0,435823,50043
5-43,GOOGLE-MAHV_MUL-Weekday-02,498822-GOOGLE-MAHV_MUL-Weekday-02,"Maryborough - Hervey Bay - Maryborough Clockwise",0,435805,50042
5-43,GOOGLE-MAHV_MUL-Weekday-02,498823-GOOGLE-MAHV_MUL-Weekday-02,"Maryborough - Hervey Bay - Maryborough Clockwise",0,435807,50044
5-43,GOOGLE-MAHV_MUL-Weekday-02,498824-GOOGLE-MAHV_MUL-Weekday-02,"Maryborough - Hervey Bay - Maryborough Clockwise",0,435821,50045
1-43,GOOGLE-MAHV_MUL-Weekday-02,498825-GOOGLE-MAHV_MUL-Weekday-02,"City - Fairfield - Hospital - City",0,435810,10114
1-43,GOOGLE-MAHV_MUL-Weekday-02,498826-GOOGLE-MAHV_MUL-Weekday-02,"City - Fairfield - Hospital - City",0,435822,10114
1-43,GOOGLE-MAHV_MUL-Weekday-02,498827-GOOGLE-MAHV_MUL-Weekday-02,"City - Fairfield - Hospital - City",0,435813,10114
1-43,GOOGLE-MAHV_MUL-Weekday-02,498828-GOOGLE-MAHV_MUL-Weekday-02,"City - Fairfield - Hospital - City",0,435818,10114
1-43,GOOGLE-MAHV_MUL-Weekday-02,498829-GOOGLE-MAHV_MUL-Weekday-02,"City - Fairfield - Hospital - City",0,435803,10117
1-43,GOOGLE-MAHV_MUL-Weekday-02,498830-GOOGLE-MAHV_MUL-Weekday-02,"City - Fairfield - Hospital - City",0,435814,10116
1-43,GOOGLE-MAHV_MUL-Weekday-02,498831-GOOGLE-MAHV_MUL-Weekday-02,"City - Fairfield - Hospital - City",0,435804,10115
2-43,GOOGLE-MAHV_MUL-Weekday-02,498832-GOOGLE-MAHV_MUL-Weekday-02,"City - Newtown - Aubinville - City",0,435826,20024
2-43,GOOGLE-MAHV_MUL-Weekday-02,498833-GOOGLE-MAHV_MUL-Weekday-02,"City - Newtown - Aubinville - City",0,435822,20025
2-43,GOOGLE-MAHV_MUL-Weekday-02,498834-GOOGLE-MAHV_MUL-Weekday-02,"City - Newtown - Aubinville - City",0,435817,20022
2-43,GOOGLE-MAHV_MUL-Weekday-02,498835-GOOGLE-MAHV_MUL-Weekday-02,"City - Newtown - Aubinville - City",0,435824,20025
2-43,GOOGLE-MAHV_MUL-Weekday-02,498836-GOOGLE-MAHV_MUL-Weekday-02,"City - Newtown - Aubinville - City",0,435802,20022
2-43,GOOGLE-MAHV_MUL-Weekday-02,498837-GOOGLE-MAHV_MUL-Weekday-02,"City - Newtown - Aubinville - City",0,435822,20025
2-43,GOOGLE-MAHV_MUL-Weekday-02,498838-GOOGLE-MAHV_MUL-Weekday-02,"City - Newtown - Aubinville - City",0,435809,20025
2-43,GOOGLE-MAHV_MUL-Weekday-02,498839-GOOGLE-MAHV_MUL-Weekday-02,"City - Newtown - Aubinville - City",0,435821,20022
2-43,GOOGLE-MAHV_MUL-Weekday-02,498840-GOOGLE-MAHV_MUL-Weekday-02,"City - Newtown - Aubinville - City",0,435811,20023
3-43,GOOGLE-MAHV_MUL-Weekday-02,498841-GOOGLE-MAHV_MUL-Weekday-02,"Ululah",0,435801,30049
3-43,GOOGLE-MAHV_MUL-Weekday-02,498842-GOOGLE-MAHV_MUL-Weekday-02,"Ululah",0,435814,30049
3-43,GOOGLE-MAHV_MUL-Weekday-02,498843-GOOGLE-MAHV_MUL-Weekday-02,"Ululah",0,435807,30049
3-43,GOOGLE-MAHV_MUL-Weekday-02,498844-GOOGLE-MAHV_MUL-Weekday-02,"Ululah",0,435807,30037
3-43,GOOGLE-MAHV_MUL-Weekday-02,498845-GOOGLE-MAHV_MUL-Weekday-02,"Ululah",0,435818,30037
3-43,GOOGLE-MAHV_MUL-Weekday-02,498846-GOOGLE-MAHV_MUL-Weekday-02,"Ululah",0,435809,30049
3-43,GOOGLE-MAHV_MUL-Weekday-02,498847-GOOGLE-MAHV_MUL-Weekday-02,"Ululah",0,435823,30037
3-43,GOOGLE-MAHV_MUL-Weekday-02,498848-GOOGLE-MAHV_MUL-Weekday-02,"Ululah",0,435814,30036
13-43,GOOGLE-MAHV_MUL-Weekday-02,498849-GOOGLE-MAHV_MUL-Weekday-02," Kawungan - Urraween",0,435828,130005
13-43,GOOGLE-MAHV_MUL-Weekday-02,498850-GOOGLE-MAHV_MUL-Weekday-02," Kawungan - Urraween",0,435831,130005
13-43,GOOGLE-MAHV_MUL-Weekday-02,498851-GOOGLE-MAHV_MUL-Weekday-02," Kawungan - Urraween",0,435831,130007
13-43,GOOGLE-MAHV_MUL-Weekday-02,498852-GOOGLE-MAHV_MUL-Weekday-02," Kawungan - Urraween",0,435830,130008
13-43,GOOGLE-MAHV_MUL-Weekday-02,498853-GOOGLE-MAHV_MUL-Weekday-02," Kawungan - Urraween",0,435831,130008
13-43,GOOGLE-MAHV_MUL-Weekday-02,498854-GOOGLE-MAHV_MUL-Weekday-02," Kawungan - Urraween",0,435830,130006
KGH-43,GOOGLE-MAHV_MUL-Weekday-02,512145-GOOGLE-MAHV_MUL-Weekday-02,"Kan Go Pialba - Point Vernon - Pialba",0,435820,KGH0007
KGH-43,GOOGLE-MAHV_MUL-Weekday-02,512146-GOOGLE-MAHV_MUL-Weekday-02,"Kan Go Pialba - Point Vernon - Pialba",0,435819,KGH0008
KGH-43,GOOGLE-MAHV_MUL-Weekday-02,512147-GOOGLE-MAHV_MUL-Weekday-02,"Kan Go Pialba - Point Vernon - Pialba",0,435831,KGH0007
KGH-43,GOOGLE-MAHV_MUL-Weekday-02,512148-GOOGLE-MAHV_MUL-Weekday-02,"Kan Go Pialba - Point Vernon - Pialba",0,435830,KGH0007
KGH-43,GOOGLE-MAHV_MUL-Weekday-02,512149-GOOGLE-MAHV_MUL-Weekday-02,"Kan Go Pialba - Point Vernon - Pialba",0,435830,KGH0007
KGH-43,GOOGLE-MAHV_MUL-Weekday-02,512150-GOOGLE-MAHV_MUL-Weekday-02,"Kan Go Pialba - Point Vernon - Pialba",0,435820,KGH0008
KGH-43,GOOGLE-MAHV_MUL-Weekday-02,512151-GOOGLE-MAHV_MUL-Weekday-02,"Kan Go Pialba - Point Vernon - Pialba",0,435820,KGH0007
KGH-43,GOOGLE-MAHV_MUL-Weekday-02,512152-GOOGLE-MAHV_MUL-Weekday-02,"Kan Go Pialba - Point Vernon - Pialba",0,435827,KGH0010
KGH-43,GOOGLE-MAHV_MUL-Weekday-02,512153-GOOGLE-MAHV_MUL-Weekday-02,"Kan Go Pialba - Point Vernon - Pialba",0,435830,KGH0009
KGH-43,GOOGLE-MAHV_MUL-Weekday-02,512154-GOOGLE-MAHV_MUL-Weekday-02,"Kan Go Pialba - Point Vernon - Pialba",0,435816,KGH0007
4-43,GOOGLE-MAHV_MUL-Weekday-02,600146-GOOGLE-MAHV_MUL-Weekday-02,"City - Granville - City",0,435826,40081
7-43,GOOGLE-MAHV_MUL-Weekday-02,1048408-GOOGLE-MAHV_MUL-Weekday-02,"City - Aldershot - Torbanlea - Howard - City",0,435810,70011
7-43,GOOGLE-MAHV_MUL-Weekday-02,1048409-GOOGLE-MAHV_MUL-Weekday-02,"City - Aldershot - Torbanlea - Howard - City",0,435811,70010
7-43,GOOGLE-MAHV_MUL-Weekday-02-0101000,1628648-GOOGLE-MAHV_MUL-Weekday-02-0101000,"City - Aldershot - Torbanlea - Howard - City",0,435811,70012
6-43,GOOGLE-MAHV_MUL-Weekday-02,1628649-GOOGLE-MAHV_MUL-Weekday-02,"City - Tinana - Chelsea - City",0,435807,60011
1A-43,GOOGLE-MAHV_MUL-Weekday-03,498787-GOOGLE-MAHV_MUL-Weekday-03,"Hervey Bay - Craignish - Hervey Bay",0,436127,1A0017
