shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
4010017,-23.4079069129,150.497343121,10001
4010017,-23.4079570392,150.497710925,10002
4010017,-23.4080225183,150.498191901,10003
4010017,-23.4080888826,150.498671883,10004
4010017,-23.4081553082,150.499155777,10005
4010017,-23.4082066459,150.499543122,10006
4010017,-23.4082051922,150.499790612,10007
4010017,-23.4081454132,150.499947255,10008
4010017,-23.4080963327,150.500039142,10009
4010017,-23.4080208937,150.500119787,10010
4010017,-23.4079415005,150.500178987,10011
4010017,-23.4071281298,150.499894973,10012
4010017,-23.4062657526,150.499989428,10013
4010017,-23.4057481676,150.500081315,10014
4010017,-23.4053916331,150.500139854,10015
4010017,-23.4047497153,150.50024679,10016
4010017,-23.4044858967,150.500288914,10017
4010017,-23.4041266859,150.500349458,10018
4010017,-23.4041266859,150.500349458,20001
4010017,-23.4041257835,150.500349475,20002
4010017,-23.4035738898,150.500441024,20003
4010017,-23.403086846,150.50052353,20004
4010017,-23.4026546786,150.500594245,20005
4010017,-23.4020252689,150.500693117,20006
4010017,-23.4017390767,150.500747396,20007
4010017,-23.4012664089,150.500825716,20008
4010017,-23.4012664089,150.500825716,30001
4010017,-23.4009170931,150.500884114,30002
4010017,-23.3999663423,150.501040853,30003
4010017,-23.3999006053,150.50105089,30004
4010017,-23.3999006053,150.50105089,40001
4010017,-23.3992045866,150.501161765,40002
4010017,-23.3979467611,150.501365343,40003
4010017,-23.3970769781,150.501504904,40004
4010017,-23.3959635568,150.50170674,40005
4010017,-23.3957130703,150.501735893,40006
4010017,-23.3950313328,150.50183671,40007
4010017,-23.3947243522,150.501889417,40008
4010017,-23.394547881,150.501918157,40009
4010017,-23.394547881,150.501918157,50001
4010017,-23.3937996754,150.50203978,50002
4010017,-23.3936790302,150.502059648,50003
4010017,-23.3929776103,150.502171589,50004
4010017,-23.3929776103,150.502171589,60001
4010017,-23.3928182384,150.502197073,60002
4010017,-23.391934233,150.50235058,60003
4010017,-23.3918584751,150.502354935,60004
4010017,-23.3911131634,150.502488233,60005
4010017,-23.3911131634,150.502488233,70001
4010017,-23.3908809282,150.502529753,70002
4010017,-23.3903570064,150.502620754,70003
4010017,-23.3899753102,150.502686593,70004
4010017,-23.3896241427,150.503250627,70005
4010017,-23.3896095631,150.503242098,70006
4010017,-23.3895850566,150.503233756,70007
4010017,-23.3895588859,150.503234247,70008
4010017,-23.3895453962,150.503237434,70009
4010017,-23.3895229915,150.503247634,70010
4010017,-23.3895043214,150.503265587,70011
4010017,-23.3894972581,150.5032755,70012
4010017,-23.3894902573,150.503289323,70013
4010017,-23.3894825571,150.503315872,70014
4010017,-23.3894829789,150.50334227,70015
4010017,-23.3894888153,150.503368566,70016
4010017,-23.3895027424,150.503392754,70017
4010017,-23.3895119386,150.503403339,70018
4010017,-23.3895238265,150.503412896,70019
4010017,-23.3893645149,150.503668201,70020
4010017,-23.3893645149,150.503668201,80001
4010017,-23.388986926,150.5042738,80002
4010017,-23.3884922289,150.50506447,80003
4010017,-23.3884922289,150.50506447,90001
4010017,-23.3883989272,150.505213891,90002
4010017,-23.3877801948,150.506208339,90003
4010017,-23.3875835082,150.50655431,90004
4010017,-23.3875835082,150.50655431,100001
4010017,-23.3872752989,150.507096004,100002
4010017,-23.3871652853,150.507273119,100003
4010017,-23.386651386,150.508049457,100004
4010017,-23.386651386,150.508049457,110001
4010017,-23.3865491346,150.508203932,110002
4010017,-23.3858581254,150.509309235,110003
4010017,-23.3855087044,150.509871246,110004
4010017,-23.3851698613,150.510417409,110005
4010017,-23.3844770606,150.511524679,110006
4010017,-23.3841232274,150.512093606,110007
4010017,-23.3837852157,150.512635831,110008
4010017,-23.3834419894,150.513190864,110009
4010017,-23.3832562241,150.513486735,110010
4010017,-23.3832562241,150.513486735,120001
4010017,-23.3830959914,150.513742033,120002
4010017,-23.3813651212,150.512470777,120003
4010017,-23.3797119315,150.511259709,120004
4010017,-23.3797207225,150.511244876,120005
4010017,-23.3797249857,150.51122915,120006
4010017,-23.3797282686,150.511208552,120007
4010017,-23.3797241918,150.511179291,120008
4010017,-23.3797185125,150.511162773,120009
4010017,-23.3797027818,150.511138619,120010
4010017,-23.3796972582,150.511131877,120011
4010017,-23.3796890272,150.511125185,120012
4010017,-23.37967353,150.511115696,120013
4010017,-23.3796589975,150.5111101,120014
4010017,-23.379623771,150.511108802,120015
4010017,-23.3796022213,150.51111605,120016
4010017,-23.379589696,150.51112313,120017
4010017,-23.3795790068,150.511132131,120018
4010017,-23.3795630585,150.511151009,120019
4010017,-23.3795508601,150.511178618,120020
4010017,-23.3795478107,150.51121388,120021
4010017,-23.3795508293,150.511233382,120022
4010017,-23.3795565086,150.5112499,120023
4010017,-23.3795722237,150.511273076,120024
4010017,-23.3795877988,150.511287454,120025
4010017,-23.3792797245,150.511782162,120026
4010017,-23.3791027989,150.512066125,120027
4010017,-23.3791027989,150.512066125,130001
4010017,-23.3789417121,150.512324366,130002
4010017,-23.3772245735,150.511065619,130003
4010017,-23.3771506038,150.51101224,130004
4010017,-23.3766819569,150.511740719,130005
4010017,-23.3764502772,150.512044279,130006
4010017,-23.3760345279,150.512580099,130007
4010017,-23.3757245343,150.513067981,130008
4010017,-23.3755701044,150.513347604,130009
4010017,-23.3741291354,150.515604038,130010
4010017,-23.3737333779,150.516262676,130011
4010017,-23.3730589012,150.517333295,130012
4010017,-23.3726288554,150.518050255,130013
4010017,-23.3725329556,150.518207521,130014
4010017,-23.3720372596,150.518599095,130015
4010017,-23.3715563767,150.518957143,130016
4010017,-23.371252723,150.519163256,130017
4010017,-23.371252723,150.519163256,140001
4010017,-23.3710446232,150.519304029,140002
4010017,-23.3701323039,150.519950742,140003
4010017,-23.3694403293,150.520432003,140004
4010017,-23.3687991572,150.520872223,140005
4010017,-23.3687991572,150.520872223,150001
4010017,-23.3686035812,150.521005913,150002
4010017,-23.3676549802,150.521699234,150003
4010017,-23.3673665589,150.521841492,150004
4010017,-23.3672038964,150.521887541,150005
4010017,-23.3665097774,150.522006051,150006
4010017,-23.3662414347,150.522048197,150007
4010017,-23.3662414347,150.522048197,160001
4010017,-23.365567855,150.522152633,160002
4010017,-23.3646656866,150.522301407,160003
4010017,-23.3637737236,150.522467589,160004
4010017,-23.363422587,150.522525939,160005
4010017,-23.363422587,150.522525939,170001
4010017,-23.3628031536,150.522629363,170002
4010017,-23.361961402,150.522774073,170003
4010017,-23.3608279047,150.522965267,170004
4010017,-23.3599221243,150.523114095,170005
4010017,-23.3596834998,150.523151772,170006
4010017,-23.3596834998,150.523151772,180001
4010017,-23.3581481714,150.523392465,180002
4010017,-23.357999231,150.522309925,180003
4010017,-23.3578959007,150.521485644,180004
4010017,-23.3577993732,150.521432684,180005
4010017,-23.3575283806,150.521535497,180006
4010017,-23.3572872154,150.521640687,180007
4010017,-23.3572110488,150.521676324,180008
4010017,-23.357172522,150.52169464,180009
4010017,-23.3571582685,150.521706637,180010
4010017,-23.3571511418,150.521712636,180011
4010017,-23.3571370432,150.521734409,180012
4010017,-23.3571293702,150.521762906,180013
4010017,-23.357121538,150.521838338,180014
4010017,-23.3571207594,150.521846175,180015
4010017,-23.3571207594,150.521846175,190001
4010017,-23.3571121486,150.521929443,190002
4010017,-23.3570817327,150.522288841,190003
4010017,-23.3570421568,150.522582901,190004
4010017,-23.3570177672,150.5228669,190005
4010017,-23.3570022457,150.522969852,190006
4010017,-23.356984249,150.523087516,190007
4010017,-23.3569576086,150.523115388,190008
4010017,-23.3569405858,150.523123526,190009
4010017,-23.3568991347,150.523128207,190010
4010017,-23.3568315744,150.523137284,190011
4010017,-23.3567750137,150.523156911,190012
4010017,-23.356727555,150.523181259,190013
4010017,-23.3567099082,150.523207008,190014
4010017,-23.3567045147,150.523322482,190015
4010017,-23.356705861,150.523407521,190016
4010017,-23.3567078418,150.523532635,190017
4010017,-23.3567231376,150.523700523,190018
4010017,-23.3567125812,150.523603923,190019
4010017,-23.3566234082,150.523616334,190020
4010017,-23.3554938787,150.523773215,190021
4010017,-23.3554938787,150.523773215,200001
4010017,-23.3546219717,150.523894999,200002
4010017,-23.3523967187,150.524234516,200003
4010017,-23.3520342712,150.524262753,200004
4010017,-23.3516860519,150.524220331,200005
4010017,-23.3515259612,150.524200816,200006
4010017,-23.351246767,150.524127782,200007
4010017,-23.3508451123,150.523960228,200008
4010017,-23.3504532299,150.523782718,200009
4010017,-23.3504532299,150.523782718,210001
4010017,-23.3488847653,150.523070747,210002
4010017,-23.3493407914,150.522282083,210003
4010017,-23.3499637032,150.521315305,210004
4010017,-23.3504879961,150.520505806,210005
4010017,-23.3506591224,150.520253312,210006
4010017,-23.3506591224,150.520253312,220001
4010017,-23.3507967296,150.520050325,220002
4010017,-23.3509520446,150.519825499,220003
4010017,-23.3512872952,150.519277618,220004
4010017,-23.3518098642,150.518474002,220005
4010017,-23.3520240286,150.518146396,220006
4010017,-23.3523369098,150.51766834,220007
4010017,-23.352865678,150.516857751,220008
4010017,-23.3532922399,150.516205495,220009
4010017,-23.3532922399,150.516205495,230001
4010017,-23.3535213681,150.515854138,230002
4010017,-23.3535350756,150.515864637,230003
4010017,-23.353549639,150.515872188,230004
4010017,-23.3535741448,150.515880531,230005
4010017,-23.3535976551,150.515883026,230006
4010017,-23.3536229082,150.515881578,230007
4010017,-23.3536471968,150.515876237,230008
4010017,-23.3536722792,150.515864037,230009
4010017,-23.3536901109,150.515850017,230010
4010017,-23.3537149295,150.515821201,230011
4010017,-23.3537236436,150.515801484,230012
4010017,-23.353733136,150.515773931,230013
4010017,-23.3537363267,150.515747473,230014
4010017,-23.3537368567,150.515723998,230015
4010017,-23.3537319254,150.515697692,230016
4010017,-23.3537233842,150.515671452,230017
4010017,-23.3537103929,150.515649207,230018
4010017,-23.3536965923,150.515632843,230019
4010017,-23.353677377,150.51561658,230020
4010017,-23.3546708072,150.514109975,230021
4010017,-23.3547395674,150.514006032,230022
4010017,-23.3547395674,150.514006032,240001
4010017,-23.3557770921,150.51243503,240002
4010017,-23.3558836616,150.512267805,240003
4010017,-23.356511606,150.511337995,240004
4010017,-23.3567702385,150.51091274,240005
4010017,-23.3567702385,150.51091274,250001
4010017,-23.3567702385,150.51091274,250002
