route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
401-279,GOOGLE-ROCK_MUL-Weekday-04,2826578-GOOGLE-ROCK_MUL-Weekday-04,"The Range -  Allenstown - City - Stockland - Glenmore School",0,,4010017
401-279,GOOGLE-ROCK_MUL-Weekday-04,2826579-GOOGLE-ROCK_MUL-Weekday-04,"The Range -  Allenstown - City - Stockland - Glenmore School",0,,4010017
401-279,GOOGLE-ROCK_MUL-Weekday-04,2826580-GOOGLE-ROCK_MUL-Weekday-04,"The Range -  Allenstown - City - Stockland - Glenmore School",0,,4010017
401-279,GOOGLE-ROCK_MUL-Weekday-04,2826581-GOOGLE-ROCK_MUL-Weekday-04,"The Range -  Allenstown - City - Stockland - Glenmore School",0,,4010017
401-279,GOOGLE-ROCK_MUL-Weekday-04,2826582-GOOGLE-ROCK_MUL-Weekday-04,"The Range -  Allenstown - City - Stockland - Glenmore School",0,,4010017
401-279,GOOGLE-ROCK_MUL-Weekday-04,2826583-GOOGLE-ROCK_MUL-Weekday-04,"The Range -  Allenstown - City - Stockland - Glenmore School",0,,4010017
401-279,GOOGLE-ROCK_MUL-Weekday-04,2826584-GOOGLE-ROCK_MUL-Weekday-04,"The Range -  Allenstown - City - Stockland - Glenmore School",0,,4010017
401-279,GOOGLE-ROCK_MUL-Weekday-04,2826585-GOOGLE-ROCK_MUL-Weekday-04,"The Range -  Allenstown - City - Stockland - Glenmore School",0,,4010017
401-279,GOOGLE-ROCK_MUL-Weekday-04,2826586-GOOGLE-ROCK_MUL-Weekday-04,"The Range -  Allenstown - City - Stockland - Glenmore School",0,,4010017
401-279,GOOGLE-ROCK_MUL-Weekday-04,2826587-GOOGLE-ROCK_MUL-Weekday-04,"The Range -  Allenstown - City - Stockland - Glenmore School",0,,4010019
401-279,GOOGLE-ROCK_MUL-Weekday-04,2826588-GOOGLE-ROCK_MUL-Weekday-04,"The Range -  Allenstown - City - Stockland - Glenmore School",0,,4010018
