shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10008,-27.6051117337,151.930613512,10001
10008,-27.6051789885,151.930672643,10002
10008,-27.6054480307,151.930912208,10003
10008,-27.6070286059,151.932314482,10004
10008,-27.6075739757,151.932802678,10005
10008,-27.6075739757,151.932802678,20001
10008,-27.6096200142,151.93463522,20002
10008,-27.6083697078,151.934860113,20003
10008,-27.6083697078,151.934860113,30001
10008,-27.6077116475,151.934977942,30002
10008,-27.6068571024,151.935135162,30003
10008,-27.6065911314,151.935177252,30004
10008,-27.6065911314,151.935177252,40001
10008,-27.6065199018,151.935188074,40002
10008,-27.6056283408,151.935344635,40003
10008,-27.6033728484,151.935741348,40004
10008,-27.6022568198,151.935937558,40005
10008,-27.6019295396,151.935989356,40006
10008,-27.6019295396,151.935989356,50001
10008,-27.6017365953,151.936019591,50002
10008,-27.6015439026,151.935847172,50003
10008,-27.6010039669,151.935359947,50004
10008,-27.6010039669,151.935359947,60001
10008,-27.6006058343,151.935001052,60002
10008,-27.5996378656,151.93414105,60003
10008,-27.5996378656,151.93414105,70001
10008,-27.5980718368,151.932749844,70002
10008,-27.5974829698,151.93223982,70003
10008,-27.5972121403,151.932002312,70004
10008,-27.5972121403,151.932002312,80001
10008,-27.5957880324,151.930756704,80002
10008,-27.5957880324,151.930756704,90001
10008,-27.595560831,151.930558295,90002
10008,-27.5949963272,151.930048057,90003
10008,-27.5942051031,151.929402233,90004
10008,-27.5936834955,151.928953395,90005
10008,-27.5931325491,151.928446081,90006
10008,-27.5929124559,151.928233428,90007
10008,-27.5929124559,151.928233428,100001
10008,-27.5924868125,151.927821153,100002
10008,-27.5919047424,151.92725843,100003
10008,-27.5914281577,151.926796001,100004
10008,-27.5914281577,151.926796001,110001
10008,-27.5912653583,151.92663852,110002
10008,-27.5918475534,151.925816237,110003
10008,-27.5920778666,151.925482686,110004
10008,-27.5922885095,151.925173642,110005
10008,-27.5922885095,151.925173642,120001
10008,-27.5925187897,151.924836036,120002
10008,-27.5935099143,151.92355077,120003
10008,-27.5937029638,151.923301668,120004
10008,-27.5937029638,151.923301668,130001
10008,-27.5939049447,151.923040319,130002
10008,-27.5948091032,151.921833888,130003
10008,-27.5948091032,151.921833888,140001
10008,-27.5949136398,151.92169507,140002
10008,-27.5951843136,151.92121318,140003
10008,-27.5944014461,151.920486282,140004
10008,-27.5944014461,151.920486282,150001
10008,-27.5942623286,151.920356944,150002
10008,-27.5929061219,151.922168618,150003
10008,-27.5921521905,151.921447524,150004
10008,-27.59196186,151.921697612,150005
10008,-27.59196186,151.921697612,160001
10008,-27.5911165358,151.9228082,160002
10008,-27.5911165358,151.9228082,170001
10008,-27.5908127247,151.923208327,170002
10008,-27.58991042,151.924655814,170003
10008,-27.5899516258,151.924964422,170004
