route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
1-14,GOOGLE-TWBA_MUL-Weekday-01,67879-GOOGLE-TWBA_MUL-Weekday-01,"USQ",0,433808,10055
1-14,GOOGLE-TWBA_MUL-Weekday-01,67880-GOOGLE-TWBA_MUL-Weekday-01,"USQ",0,433808,10090
1-14,GOOGLE-TWBA_MUL-Weekday-01,67881-GOOGLE-TWBA_MUL-Weekday-01,"USQ",0,433812,10054
1-14,GOOGLE-TWBA_MUL-Weekday-01,67882-GOOGLE-TWBA_MUL-Weekday-01,"USQ",0,433804,10054
1-14,GOOGLE-TWBA_MUL-Weekday-01,67883-GOOGLE-TWBA_MUL-Weekday-01,"USQ",0,433820,10054
1-14,GOOGLE-TWBA_MUL-Weekday-01,67884-GOOGLE-TWBA_MUL-Weekday-01,"USQ",0,433804,10054
1-14,GOOGLE-TWBA_MUL-Weekday-01,67885-GOOGLE-TWBA_MUL-Weekday-01,"USQ",0,433810,10054
1-14,GOOGLE-TWBA_MUL-Weekday-01,67886-GOOGLE-TWBA_MUL-Weekday-01,"USQ",0,433804,10054
1-14,GOOGLE-TWBA_MUL-Weekday-01,67887-GOOGLE-TWBA_MUL-Weekday-01,"USQ",0,433820,10057
1-14,GOOGLE-TWBA_MUL-Weekday-01,67888-GOOGLE-TWBA_MUL-Weekday-01,"USQ",0,433804,10057
1-14,GOOGLE-TWBA_MUL-Weekday-01,67889-GOOGLE-TWBA_MUL-Weekday-01,"USQ",0,433810,10054
1-14,GOOGLE-TWBA_MUL-Weekday-01,67890-GOOGLE-TWBA_MUL-Weekday-01,"Harlaxton",1,433812,10091
1-14,GOOGLE-TWBA_MUL-Weekday-01,67891-GOOGLE-TWBA_MUL-Weekday-01,"Harlaxton",1,433804,10008
1-14,GOOGLE-TWBA_MUL-Weekday-01,67892-GOOGLE-TWBA_MUL-Weekday-01,"Harlaxton",1,433820,10008
1-14,GOOGLE-TWBA_MUL-Weekday-01,67893-GOOGLE-TWBA_MUL-Weekday-01,"Harlaxton",1,433804,10008
1-14,GOOGLE-TWBA_MUL-Weekday-01,67894-GOOGLE-TWBA_MUL-Weekday-01,"Harlaxton",1,433820,10008
1-14,GOOGLE-TWBA_MUL-Weekday-01,67895-GOOGLE-TWBA_MUL-Weekday-01,"Harlaxton",1,433804,10008
1-14,GOOGLE-TWBA_MUL-Weekday-01,67896-GOOGLE-TWBA_MUL-Weekday-01,"Harlaxton",1,433810,10008
1-14,GOOGLE-TWBA_MUL-Weekday-01,67897-GOOGLE-TWBA_MUL-Weekday-01,"Harlaxton",1,433804,10008
1-14,GOOGLE-TWBA_MUL-Weekday-01,67898-GOOGLE-TWBA_MUL-Weekday-01,"Harlaxton",1,433811,10092
1-14,GOOGLE-TWBA_MUL-Weekday-01,67899-GOOGLE-TWBA_MUL-Weekday-01,"Harlaxton",1,433820,10137
1-14,GOOGLE-TWBA_MUL-Weekday-01,67900-GOOGLE-TWBA_MUL-Weekday-01,"Harlaxton",1,433804,10092
2-14,GOOGLE-TWBA_MUL-Weekday-01,69001-GOOGLE-TWBA_MUL-Weekday-01,"Glenvale",0,433822,20048
2-14,GOOGLE-TWBA_MUL-Weekday-01,69002-GOOGLE-TWBA_MUL-Weekday-01,"Glenvale",0,433822,20027
2-14,GOOGLE-TWBA_MUL-Weekday-01,69003-GOOGLE-TWBA_MUL-Weekday-01,"Glenvale",0,433811,20026
2-14,GOOGLE-TWBA_MUL-Weekday-01,69004-GOOGLE-TWBA_MUL-Weekday-01,"Glenvale",0,433822,20026
2-14,GOOGLE-TWBA_MUL-Weekday-01,69005-GOOGLE-TWBA_MUL-Weekday-01,"Glenvale",0,433811,20026
2-14,GOOGLE-TWBA_MUL-Weekday-01,69006-GOOGLE-TWBA_MUL-Weekday-01,"Glenvale",0,433822,20026
2-14,GOOGLE-TWBA_MUL-Weekday-01,69007-GOOGLE-TWBA_MUL-Weekday-01,"Glenvale",0,433811,20026
2-14,GOOGLE-TWBA_MUL-Weekday-01,69008-GOOGLE-TWBA_MUL-Weekday-01,"Glenvale",0,433805,20047
2-14,GOOGLE-TWBA_MUL-Weekday-01,69009-GOOGLE-TWBA_MUL-Weekday-01,"Glenvale",0,433805,20029
2-14,GOOGLE-TWBA_MUL-Weekday-01,69010-GOOGLE-TWBA_MUL-Weekday-01,"Glenvale",0,433805,20029
2-14,GOOGLE-TWBA_MUL-Weekday-01,69011-GOOGLE-TWBA_MUL-Weekday-01,"Mt Lofty",1,433811,20030
2-14,GOOGLE-TWBA_MUL-Weekday-01,69012-GOOGLE-TWBA_MUL-Weekday-01,"Mt Lofty",1,433822,20030
2-14,GOOGLE-TWBA_MUL-Weekday-01,69013-GOOGLE-TWBA_MUL-Weekday-01,"Mt Lofty",1,433811,20030
2-14,GOOGLE-TWBA_MUL-Weekday-01,69014-GOOGLE-TWBA_MUL-Weekday-01,"Mt Lofty",1,433822,20030
2-14,GOOGLE-TWBA_MUL-Weekday-01,69015-GOOGLE-TWBA_MUL-Weekday-01,"Mt Lofty",1,433811,20030
2-14,GOOGLE-TWBA_MUL-Weekday-01,69016-GOOGLE-TWBA_MUL-Weekday-01,"Mt Lofty",1,433805,20030
2-14,GOOGLE-TWBA_MUL-Weekday-01,69017-GOOGLE-TWBA_MUL-Weekday-01,"Mt Lofty",1,433822,20050
2-14,GOOGLE-TWBA_MUL-Weekday-01,69018-GOOGLE-TWBA_MUL-Weekday-01,"Mt Lofty",1,433805,20031
2-14,GOOGLE-TWBA_MUL-Weekday-01,69019-GOOGLE-TWBA_MUL-Weekday-01,"Mt Lofty",1,433805,20031
2-14,GOOGLE-TWBA_MUL-Weekday-01,69020-GOOGLE-TWBA_MUL-Weekday-01,"Mt Lofty",1,433822,20032
4-14,GOOGLE-TWBA_MUL-Weekday-01,69122-GOOGLE-TWBA_MUL-Weekday-01,"USQ",0,433804,40034
4-14,GOOGLE-TWBA_MUL-Weekday-01,69123-GOOGLE-TWBA_MUL-Weekday-01,"USQ",1,433803,40036
4-14,GOOGLE-TWBA_MUL-Weekday-01,69124-GOOGLE-TWBA_MUL-Weekday-01,"USQ",0,433819,40064
4-14,GOOGLE-TWBA_MUL-Weekday-01,69125-GOOGLE-TWBA_MUL-Weekday-01,"USQ",1,433803,40091
4-14,GOOGLE-TWBA_MUL-Weekday-01,69126-GOOGLE-TWBA_MUL-Weekday-01,"USQ",0,433803,40033
