shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
2000008,-19.3934237772,146.729285523,10001
2000008,-19.3933316268,146.7292739,10002
2000008,-19.3930026351,146.729254322,10003
2000008,-19.3926061464,146.729285682,10004
2000008,-19.3920452565,146.729348957,10005
2000008,-19.3894580646,146.729835167,10006
2000008,-19.3890995849,146.729899185,10007
2000008,-19.3886032919,146.729983667,10008
2000008,-19.3882983957,146.730010553,10009
2000008,-19.3882983957,146.730010553,20001
2000008,-19.386105699,146.730200045,20002
2000008,-19.386105699,146.730200045,30001
2000008,-19.3860222557,146.730206095,30002
2000008,-19.3851020969,146.730310652,30003
2000008,-19.3847054619,146.730363809,30004
2000008,-19.3847054619,146.730363809,40001
2000008,-19.3832145802,146.730559485,40002
2000008,-19.3820082326,146.730607732,40003
2000008,-19.3802371925,146.730427441,40004
2000008,-19.3798397474,146.730379205,40005
2000008,-19.3798397474,146.730379205,50001
2000008,-19.3791820536,146.730296419,50002
2000008,-19.3789547985,146.730279558,50003
2000008,-19.3773982371,146.73024078,50004
2000008,-19.3768883132,146.730243307,50005
2000008,-19.3768883132,146.730243307,60001
2000008,-19.3739876371,146.730248566,60002
2000008,-19.3734702648,146.730243793,60003
2000008,-19.3734702648,146.730243793,70001
2000008,-19.3731507798,146.730239003,70002
2000008,-19.3724238095,146.730233749,70003
2000008,-19.3719561238,146.730261187,70004
2000008,-19.3714499462,146.730346022,70005
2000008,-19.3712411522,146.730394794,70006
2000008,-19.3708698827,146.730479186,70007
2000008,-19.3708698827,146.730479186,80001
2000008,-19.3706672457,146.73052393,80002
2000008,-19.3698219436,146.73073836,80003
2000008,-19.3689152144,146.730971256,80004
2000008,-19.3681010236,146.731175006,80005
2000008,-19.367922771,146.731222602,80006
2000008,-19.365542289,146.731808702,80007
2000008,-19.3648862675,146.731826296,80008
2000008,-19.3648367955,146.731826299,80009
2000008,-19.3648367955,146.731826299,90001
2000008,-19.3627191669,146.731793834,90002
2000008,-19.3621642784,146.731822708,90003
2000008,-19.3619341674,146.731853335,90004
2000008,-19.3619341674,146.731853335,100001
