route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
233-281,GOOGLE-TWN_MUL-Weekday-03,2661817-GOOGLE-TWN_MUL-Weekday-03,"Bushland Beach to Stockland via Deeragun, Burdell, Bohle",0,508315,2330018
233-281,GOOGLE-TWN_MUL-Weekday-03,2661818-GOOGLE-TWN_MUL-Weekday-03,"Bushland Beach to Stockland via Deeragun, Burdell, Bohle",0,508316,2330018
233-281,GOOGLE-TWN_MUL-Weekday-03,2661819-GOOGLE-TWN_MUL-Weekday-03,"Bushland Beach to Stockland via Deeragun, Burdell, Bohle",0,508318,2330018
233-281,GOOGLE-TWN_MUL-Weekday-03,2661820-GOOGLE-TWN_MUL-Weekday-03,"Bushland Beach to Stockland via Deeragun, Burdell, Bohle",0,508319,2330018
233-281,GOOGLE-TWN_MUL-Weekday-03,2661821-GOOGLE-TWN_MUL-Weekday-03,"Bushland Beach to Stockland via Deeragun, Burdell, Bohle",0,508320,2330018
233-281,GOOGLE-TWN_MUL-Weekday-03,2661822-GOOGLE-TWN_MUL-Weekday-03,"Bushland Beach to Stockland via Deeragun, Burdell, Bohle",0,508321,2330018
233-281,GOOGLE-TWN_MUL-Weekday-03,2661823-GOOGLE-TWN_MUL-Weekday-03,"Stockland to Bushland Beach via Bohle, Burdell, Deeragun",1,508317,2330022
233-281,GOOGLE-TWN_MUL-Weekday-03,2661824-GOOGLE-TWN_MUL-Weekday-03,"Stockland to Bushland Beach via Bohle, Burdell, Deeragun",1,508318,2330024
233-281,GOOGLE-TWN_MUL-Weekday-03,2661825-GOOGLE-TWN_MUL-Weekday-03,"Stockland to Bushland Beach via Bohle, Burdell, Deeragun",1,508319,2330024
233-281,GOOGLE-TWN_MUL-Weekday-03,2661826-GOOGLE-TWN_MUL-Weekday-03,"Stockland to Bushland Beach via Bohle, Burdell, Deeragun",1,508320,2330024
233-281,GOOGLE-TWN_MUL-Weekday-03,2661827-GOOGLE-TWN_MUL-Weekday-03,"Stockland to Bushland Beach via Bohle, Burdell, Deeragun",1,508321,2330024
233-281,GOOGLE-TWN_MUL-Weekday-03,2661828-GOOGLE-TWN_MUL-Weekday-03,"Stockland to Bushland Beach via Bohle, Burdell, Deeragun",1,508322,2330022
233-281,GOOGLE-TWN_MUL-Weekday-03,2661829-GOOGLE-TWN_MUL-Weekday-03,"Stockland to Bushland Beach via Bohle, Burdell, Deeragun",1,508323,2330023
233-281,GOOGLE-TWN_MUL-Weekday-03,2661830-GOOGLE-TWN_MUL-Weekday-03,"Bushland Beach to Stockland via Deeragun, Burdell, Bohle",0,508323,2330019
233-281,GOOGLE-TWN_MUL-Weekday-03,2661831-GOOGLE-TWN_MUL-Weekday-03,"Bushland Beach to Stockland via Deeragun, Burdell, Bohle",0,508324,2330020
233-281,GOOGLE-TWN_MUL-Weekday-03,2661832-GOOGLE-TWN_MUL-Weekday-03,"Bushland Beach to Stockland via Deeragun, Burdell, Bohle",0,508325,2330021
200-281,GOOGLE-TWN_MUL-Weekday-03,2661842-GOOGLE-TWN_MUL-Weekday-03,"Kelso to City and Breakwater",0,508331,2000008
200-281,GOOGLE-TWN_MUL-Weekday-03,2661843-GOOGLE-TWN_MUL-Weekday-03,"Kelso to City and Breakwater",0,508332,2000008
200-281,GOOGLE-TWN_MUL-Weekday-03,2661844-GOOGLE-TWN_MUL-Weekday-03,"Kelso to City and Breakwater",0,508333,2000008
200-281,GOOGLE-TWN_MUL-Weekday-03,2661845-GOOGLE-TWN_MUL-Weekday-03,"Kelso to City and Breakwater",0,508334,2000008
200-281,GOOGLE-TWN_MUL-Weekday-03,2661846-GOOGLE-TWN_MUL-Weekday-03,"Kelso to City and Breakwater",0,508335,2000008
200-281,GOOGLE-TWN_MUL-Weekday-03,2661847-GOOGLE-TWN_MUL-Weekday-03,"Kelso to City and Breakwater",0,508336,2000008
200-281,GOOGLE-TWN_MUL-Weekday-03,2661848-GOOGLE-TWN_MUL-Weekday-03,"Kelso to City and Breakwater",0,508337,2000008
200-281,GOOGLE-TWN_MUL-Weekday-03,2661849-GOOGLE-TWN_MUL-Weekday-03,"Kelso to City and Breakwater",0,508338,2000008
200-281,GOOGLE-TWN_MUL-Weekday-03,2661850-GOOGLE-TWN_MUL-Weekday-03,"Kelso to City and Breakwater",0,508339,2000008
200-281,GOOGLE-TWN_MUL-Weekday-03,2661851-GOOGLE-TWN_MUL-Weekday-03,"Kelso to City and Breakwater",0,508340,2000008
200-281,GOOGLE-TWN_MUL-Weekday-03,2661852-GOOGLE-TWN_MUL-Weekday-03,"Kelso to City and Breakwater",0,508341,2000008
200-281,GOOGLE-TWN_MUL-Weekday-03,2661853-GOOGLE-TWN_MUL-Weekday-03,"Kelso to City and Breakwater",0,508342,2000008
200-281,GOOGLE-TWN_MUL-Weekday-03,2661854-GOOGLE-TWN_MUL-Weekday-03,"Kelso to City and Breakwater",0,508343,2000008
200-281,GOOGLE-TWN_MUL-Weekday-03,2661855-GOOGLE-TWN_MUL-Weekday-03,"Kelso to City and Breakwater",0,508344,2000008
200-281,GOOGLE-TWN_MUL-Weekday-03,2661856-GOOGLE-TWN_MUL-Weekday-03,"Kelso to City and Breakwater",0,508345,2000008
200-281,GOOGLE-TWN_MUL-Weekday-03,2661857-GOOGLE-TWN_MUL-Weekday-03,"Kelso to City and Breakwater",0,508346,2000008
200-281,GOOGLE-TWN_MUL-Weekday-03,2661858-GOOGLE-TWN_MUL-Weekday-03,"Kelso to City and Breakwater",0,508347,2000008
200-281,GOOGLE-TWN_MUL-Weekday-03,2661859-GOOGLE-TWN_MUL-Weekday-03,"Kelso to City and Breakwater",0,508348,2000008
