shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1A0022,-28.2166268844,152.032538105,10001
1A0022,-28.2172993599,152.032412817,10002
1A0022,-28.2181349844,152.032255484,10003
1A0022,-28.2181387461,152.03227685,10004
1A0022,-28.2181497788,152.032305284,10005
1A0022,-28.2181662053,152.032330612,10006
1A0022,-28.2181871158,152.032351823,10007
1A0022,-28.218210698,152.032367915,10008
1A0022,-28.2182369374,152.03237685,10009
1A0022,-28.218264946,152.032380674,10010
1A0022,-28.2182802825,152.032379516,10011
1A0022,-28.2184218259,152.033376902,10012
1A0022,-28.2204573267,152.033003934,10013
1A0022,-28.220568088,152.033860987,10014
1A0022,-28.2205918038,152.034023823,10015
1A0022,-28.2206616441,152.034199493,10016
1A0022,-28.2223022954,152.033897346,10017
1A0022,-28.222730477,152.03381706,10018
1A0022,-28.2226963071,152.033579921,10019
1A0022,-28.2226963071,152.033579921,20001
1A0022,-28.2225559407,152.03262121,20002
1A0022,-28.22237483,152.03151816,20003
1A0022,-28.2227336276,152.031454796,20004
1A0022,-28.2227336276,152.031454796,30001
1A0022,-28.2254984988,152.030962067,30002
1A0022,-28.2253199868,152.029718329,30003
1A0022,-28.2251530473,152.028580479,30004
1A0022,-28.2250192026,152.027655325,30005
1A0022,-28.2250192026,152.027655325,40001
1A0022,-28.2249802916,152.027387653,40002
1A0022,-28.2248160406,152.026249786,40003
1A0022,-28.224638672,152.0250458,40004
1A0022,-28.2244771893,152.023919125,40005
1A0022,-28.2244686444,152.023860095,40006
1A0022,-28.2244686444,152.023860095,50001
1A0022,-28.2243025591,152.022722256,50002
1A0022,-28.2241382987,152.02158848,50003
1A0022,-28.2240463234,152.020970729,50004
1A0022,-28.2240463234,152.020970729,60001
1A0022,-28.2239619089,152.020400807,60002
1A0022,-28.2237778314,152.019275373,60003
1A0022,-28.2235494487,152.017637747,60004
1A0022,-28.2235494487,152.017637747,70001
1A0022,-28.2234533181,152.016946666,70002
1A0022,-28.2232862811,152.01568453,70003
1A0022,-28.2232862811,152.01568453,80001
1A0022,-28.2232672104,152.015543052,80002
1A0022,-28.2231359052,152.0146067,80003
1A0022,-28.223039921,152.013938043,80004
1A0022,-28.2229657071,152.013409822,80005
1A0022,-28.2228040411,152.012270957,80006
1A0022,-28.2228011641,152.012247544,80007
1A0022,-28.2228011641,152.012247544,90001
1A0022,-28.2227553973,152.011909631,90002
1A0022,-28.2225176509,152.010237476,90003
1A0022,-28.2225176509,152.010237476,100001
1A0022,-28.2224852969,152.010007463,100002
1A0022,-28.2223121149,152.008778017,100003
1A0022,-28.2222683442,152.008467604,100004
1A0022,-28.2221790252,152.00785087,100005
1A0022,-28.2221790252,152.00785087,110001
1A0022,-28.2221438413,152.00760458,110002
1A0022,-28.2218850975,152.005782836,110003
1A0022,-28.221814326,152.005608212,110004
1A0022,-28.221814326,152.005608212,120001
1A0022,-28.2217490807,152.005448822,120002
1A0022,-28.2215253531,152.00521753,120003
1A0022,-28.2212523694,152.005039686,120004
1A0022,-28.2206143771,152.00468995,120005
1A0022,-28.2200092089,152.004757725,120006
1A0022,-28.2188670761,152.004962954,120007
1A0022,-28.2188670761,152.004962954,130001
1A0022,-28.218604756,152.005010223,130002
1A0022,-28.2183627383,152.003011079,130003
1A0022,-28.217668079,152.002194155,130004
1A0022,-28.2170648584,152.002281285,130005
1A0022,-28.2170648584,152.002281285,140001
1A0022,-28.2169873123,152.002292196,140002
1A0022,-28.2151293868,152.002619245,140003
1A0022,-28.2149922862,152.002632747,140004
1A0022,-28.2150217884,152.002841368,140005
1A0022,-28.2150217884,152.002841368,150001
1A0022,-28.2150855869,152.00329729,150002
1A0022,-28.2151701947,152.003760153,150003
1A0022,-28.2152379442,152.004015295,150004
1A0022,-28.2152379442,152.004015295,160001
1A0022,-28.2152425757,152.004031556,160002
1A0022,-28.2153161087,152.004213276,160003
1A0022,-28.2154161049,152.004434492,160004
1A0022,-28.2157503282,152.004965355,160005
1A0022,-28.2164750315,152.006068348,160006
1A0022,-28.2164750315,152.006068348,170001
1A0022,-28.2167442785,152.00647754,170002
1A0022,-28.2178998213,152.008244037,170003
1A0022,-28.2180718023,152.008435045,170004
1A0022,-28.2180718023,152.008435045,180001
1A0022,-28.2180881814,152.008453236,180002
1A0022,-28.2181880898,152.008663254,180003
1A0022,-28.2182522957,152.008804307,180004
1A0022,-28.2183066324,152.008953603,180005
1A0022,-28.2183337591,152.009084809,180006
1A0022,-28.2183982524,152.009265602,180007
1A0022,-28.2184173295,152.009407072,180008
1A0022,-28.2184246362,152.009543556,180009
1A0022,-28.2184294121,152.00970452,180010
1A0022,-28.2184207674,152.009881912,180011
1A0022,-28.2184065447,152.010036938,180012
1A0022,-28.218322461,152.010516661,180013
1A0022,-28.218322461,152.010516661,190001
1A0022,-28.2183077365,152.010602396,190002
1A0022,-28.2181705207,152.011224254,190003
1A0022,-28.2179981046,152.011971776,190004
1A0022,-28.2178768712,152.012557817,190005
1A0022,-28.2178175798,152.01297209,190006
1A0022,-28.2178099363,152.013163739,190007
1A0022,-28.2177930463,152.013324901,190008
1A0022,-28.2177951835,152.013496079,190009
1A0022,-28.2178138606,152.013707867,190010
1A0022,-28.2178596446,152.014048822,190011
1A0022,-28.2178596446,152.014048822,200001
1A0022,-28.2178902084,152.0142819,200002
1A0022,-28.2180679263,152.015521454,200003
1A0022,-28.2182275979,152.016637874,200004
1A0022,-28.2182351993,152.016690794,200005
1A0022,-28.2182351993,152.016690794,210001
1A0022,-28.2184068802,152.01784685,210002
1A0022,-28.2184352594,152.01802798,210003
1A0022,-28.2184542147,152.018279509,210004
