route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
1A-167,GOOGLE-WCK_MUL-Weekday-03,454244-GOOGLE-WCK_MUL-Weekday-03,"West Warwick Loop",0,,1A0022
1A-167,GOOGLE-WCK_MUL-Weekday-03,454245-GOOGLE-WCK_MUL-Weekday-03,"West Warwick Loop",0,,1A0022
1A-167,GOOGLE-WCK_MUL-Weekday-03,454246-GOOGLE-WCK_MUL-Weekday-03,"West Warwick Loop",0,,1A0022
1B-167,GOOGLE-WCK_MUL-Weekday-03,454247-GOOGLE-WCK_MUL-Weekday-03,"Chase Estate Loop",0,,1B0011
1B-167,GOOGLE-WCK_MUL-Weekday-03,454248-GOOGLE-WCK_MUL-Weekday-03,"Chase Estate Loop",0,,1B0011
2-167,GOOGLE-WCK_MUL-Weekday-03,454249-GOOGLE-WCK_MUL-Weekday-03,"East Warwick Loop",0,,20073
2-167,GOOGLE-WCK_MUL-Weekday-03,454250-GOOGLE-WCK_MUL-Weekday-03,"East Warwick Loop",0,,20073
3-167,GOOGLE-WCK_MUL-Weekday-03,454251-GOOGLE-WCK_MUL-Weekday-03,"Glennie Heights Loop",0,,30039
3-167,GOOGLE-WCK_MUL-Weekday-03,454252-GOOGLE-WCK_MUL-Weekday-03,"Glennie Heights Loop",0,,30039
3-167,GOOGLE-WCK_MUL-Weekday-03,454253-GOOGLE-WCK_MUL-Weekday-03,"Glennie Heights Loop",0,,30039
4-167,GOOGLE-WCK_MUL-Weekday-03,454254-GOOGLE-WCK_MUL-Weekday-03,"Rosenthall Heights Loop",0,,40053
4-167,GOOGLE-WCK_MUL-Weekday-03,454255-GOOGLE-WCK_MUL-Weekday-03,"Rosenthall Heights Loop",0,,40053
1A-167,GOOGLE-WCK_MUL-Weekday-04,454244-GOOGLE-WCK_MUL-Weekday-04,"West Warwick Loop",0,426202,1A0022
1A-167,GOOGLE-WCK_MUL-Weekday-04,454245-GOOGLE-WCK_MUL-Weekday-04,"West Warwick Loop",0,426202,1A0022
1A-167,GOOGLE-WCK_MUL-Weekday-04,454246-GOOGLE-WCK_MUL-Weekday-04,"West Warwick Loop",0,426202,1A0022
1B-167,GOOGLE-WCK_MUL-Weekday-04,454247-GOOGLE-WCK_MUL-Weekday-04,"Chase Estate Loop",0,426202,1B0011
1B-167,GOOGLE-WCK_MUL-Weekday-04,454248-GOOGLE-WCK_MUL-Weekday-04,"Chase Estate Loop",0,426202,1B0011
2-167,GOOGLE-WCK_MUL-Weekday-04,454249-GOOGLE-WCK_MUL-Weekday-04,"East Warwick Loop",0,426202,20073
2-167,GOOGLE-WCK_MUL-Weekday-04,454250-GOOGLE-WCK_MUL-Weekday-04,"East Warwick Loop",0,426202,20073
3-167,GOOGLE-WCK_MUL-Weekday-04,454251-GOOGLE-WCK_MUL-Weekday-04,"Glennie Heights Loop",0,426202,30039
3-167,GOOGLE-WCK_MUL-Weekday-04,454252-GOOGLE-WCK_MUL-Weekday-04,"Glennie Heights Loop",0,426202,30039
3-167,GOOGLE-WCK_MUL-Weekday-04,454253-GOOGLE-WCK_MUL-Weekday-04,"Glennie Heights Loop",0,426202,30039
4-167,GOOGLE-WCK_MUL-Weekday-04,454254-GOOGLE-WCK_MUL-Weekday-04,"Rosenthall Heights Loop",0,426202,40053
4-167,GOOGLE-WCK_MUL-Weekday-04,454255-GOOGLE-WCK_MUL-Weekday-04,"Rosenthall Heights Loop",0,426202,40053
S6-167,GOOGLE-WCK_MUL-Weekday-04,1977649-GOOGLE-WCK_MUL-Weekday-04,"Outbound",1,426203,S60003
S7-167,GOOGLE-WCK_MUL-Weekday-04,1977650-GOOGLE-WCK_MUL-Weekday-04,"Outbound",1,426203,S70001
S8-167,GOOGLE-WCK_MUL-Weekday-04,1977651-GOOGLE-WCK_MUL-Weekday-04,"Inbound",0,426203,S80002
S10-167,GOOGLE-WCK_MUL-Weekday-04,1977652-GOOGLE-WCK_MUL-Weekday-04,"Inbound",0,426205,S100002
S5-167,GOOGLE-WCK_MUL-Weekday-04,1977953-GOOGLE-WCK_MUL-Weekday-04,"Inbound",0,426207,S50002
S11-167,GOOGLE-WCK_MUL-Weekday-04,1977954-GOOGLE-WCK_MUL-Weekday-04,"Outbound",1,426202,S110001
S4-167,GOOGLE-WCK_MUL-Weekday-04,1977955-GOOGLE-WCK_MUL-Weekday-04,"Outbound",1,426204,S40002
S12-167,GOOGLE-WCK_MUL-Weekday-04,1977956-GOOGLE-WCK_MUL-Weekday-04,"Outbound",1,426202,S120001
S13-167,GOOGLE-WCK_MUL-Weekday-04,1977957-GOOGLE-WCK_MUL-Weekday-04,"Outbound",1,426202,S130002
S5-167,GOOGLE-WCK_MUL-Weekday-04,1977958-GOOGLE-WCK_MUL-Weekday-04,"Outbound",1,426206,S50003
S14-167,GOOGLE-WCK_MUL-Weekday-04,1977959-GOOGLE-WCK_MUL-Weekday-04,"Outbound",1,426201,S140002
1A-167,GOOGLE-WCK_MUSA-Saturday-01,454644-GOOGLE-WCK_MUSA-Saturday-01,"West Warwick Loop",0,331018,1A0022
1A-167,GOOGLE-WCK_MUSA-Saturday-01,454645-GOOGLE-WCK_MUSA-Saturday-01,"West Warwick Loop",0,331018,1A0022
1B-167,GOOGLE-WCK_MUSA-Saturday-01,454646-GOOGLE-WCK_MUSA-Saturday-01,"Chase Estate Loop",0,331018,1B0011
1B-167,GOOGLE-WCK_MUSA-Saturday-01,454647-GOOGLE-WCK_MUSA-Saturday-01,"Chase Estate Loop",0,331018,1B0011
