trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
2816853-GOOGLE-YEPMUL-Weekday-04,05:22:00,05:22:00,860274,1,0,0
2816853-GOOGLE-YEPMUL-Weekday-04,05:22:00,05:22:00,860279,2,0,0
2816853-GOOGLE-YEPMUL-Weekday-04,05:23:00,05:23:00,860280,3,0,0
2816853-GOOGLE-YEPMUL-Weekday-04,05:23:00,05:23:00,860281,4,0,0
2816853-GOOGLE-YEPMUL-Weekday-04,05:26:00,05:26:00,860282,5,0,0
2816853-GOOGLE-YEPMUL-Weekday-04,05:26:00,05:26:00,860283,6,0,0
2816853-GOOGLE-YEPMUL-Weekday-04,05:27:00,05:27:00,860284,7,0,0
2816853-GOOGLE-YEPMUL-Weekday-04,05:27:00,05:27:00,860285,8,0,0
2816853-GOOGLE-YEPMUL-Weekday-04,05:28:00,05:28:00,860286,9,0,0
2816853-GOOGLE-YEPMUL-Weekday-04,05:28:00,05:28:00,860287,10,0,0
2816853-GOOGLE-YEPMUL-Weekday-04,05:29:00,05:29:00,860288,11,0,0
2816853-GOOGLE-YEPMUL-Weekday-04,05:30:00,05:30:00,860289,12,0,0
2816853-GOOGLE-YEPMUL-Weekday-04,05:31:00,05:31:00,860290,13,0,0
2816853-GOOGLE-YEPMUL-Weekday-04,05:35:00,05:35:00,860261,14,0,0
2816853-GOOGLE-YEPMUL-Weekday-04,05:38:00,05:38:00,860291,15,0,0
2816853-GOOGLE-YEPMUL-Weekday-04,05:40:00,05:40:00,860292,16,0,0
2816853-GOOGLE-YEPMUL-Weekday-04,05:42:00,05:42:00,860293,17,0,0
2816853-GOOGLE-YEPMUL-Weekday-04,05:43:00,05:43:00,860294,18,0,0
2816853-GOOGLE-YEPMUL-Weekday-04,05:44:00,05:44:00,860295,19,0,0
2816853-GOOGLE-YEPMUL-Weekday-04,05:45:00,05:45:00,860296,20,0,0
2816853-GOOGLE-YEPMUL-Weekday-04,05:46:00,05:46:00,860297,21,0,0
2816853-GOOGLE-YEPMUL-Weekday-04,05:48:00,05:48:00,860298,22,0,0
2816853-GOOGLE-YEPMUL-Weekday-04,05:49:00,05:49:00,860299,23,0,0
2816853-GOOGLE-YEPMUL-Weekday-04,05:50:00,05:50:00,860250,24,0,0
2816853-GOOGLE-YEPMUL-Weekday-04,05:52:00,05:52:00,860300,25,0,0
2816853-GOOGLE-YEPMUL-Weekday-04,05:53:00,05:53:00,860301,26,0,0
2816853-GOOGLE-YEPMUL-Weekday-04,05:53:00,05:53:00,860302,27,0,0
2816853-GOOGLE-YEPMUL-Weekday-04,05:54:00,05:54:00,860303,28,0,0
2816853-GOOGLE-YEPMUL-Weekday-04,05:54:00,05:54:00,860304,29,0,0
2816853-GOOGLE-YEPMUL-Weekday-04,05:55:00,05:55:00,860305,30,0,0
2816853-GOOGLE-YEPMUL-Weekday-04,05:57:00,05:57:00,860306,31,0,0
2816853-GOOGLE-YEPMUL-Weekday-04,06:00:00,06:00:00,860307,32,0,0
2816853-GOOGLE-YEPMUL-Weekday-04,06:13:00,06:13:00,860375,33,0,0
2816853-GOOGLE-YEPMUL-Weekday-04,06:24:00,06:24:00,860431,34,1,0
2816853-GOOGLE-YEPMUL-Weekday-04,06:26:00,06:26:00,860319,35,1,0
