route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
20-279,GOOGLE-YEPMUL-Weekday-04,2816853-GOOGLE-YEPMUL-Weekday-04," Capricorn Coast - Yeppoon - Rockhampton",0,532801,200077
20-279,GOOGLE-YEPMUL-Weekday-04,2816854-GOOGLE-YEPMUL-Weekday-04," Capricorn Coast - Yeppoon - Rockhampton",0,532810,200124
20-279,GOOGLE-YEPMUL-Weekday-04,2816855-GOOGLE-YEPMUL-Weekday-04," Capricorn Coast - Yeppoon - Rockhampton",0,532808,200077
20-279,GOOGLE-YEPMUL-Weekday-04,2816856-GOOGLE-YEPMUL-Weekday-04," Capricorn Coast - Yeppoon - Rockhampton",0,532808,200020
20-279,GOOGLE-YEPMUL-Weekday-04,2816857-GOOGLE-YEPMUL-Weekday-04," Capricorn Coast - Yeppoon - Rockhampton",0,532817,200125
20-279,GOOGLE-YEPMUL-Weekday-04,2816858-GOOGLE-YEPMUL-Weekday-04," Capricorn Coast - Yeppoon - Rockhampton",0,532806,200077
20-279,GOOGLE-YEPMUL-Weekday-04,2816859-GOOGLE-YEPMUL-Weekday-04," Capricorn Coast - Yeppoon - Rockhampton",0,532819,200125
20-279,GOOGLE-YEPMUL-Weekday-04,2816860-GOOGLE-YEPMUL-Weekday-04,"Rockhampton - Yeppoon - Capricorn Coast",1,532811,200082
20-279,GOOGLE-YEPMUL-Weekday-04,2816861-GOOGLE-YEPMUL-Weekday-04,"Rockhampton - Yeppoon - Capricorn Coast",1,532806,200082
20-279,GOOGLE-YEPMUL-Weekday-04,2816862-GOOGLE-YEPMUL-Weekday-04,"Rockhampton - Yeppoon - Capricorn Coast",1,532812,200082
20-279,GOOGLE-YEPMUL-Weekday-04,2816863-GOOGLE-YEPMUL-Weekday-04,"Rockhampton - Yeppoon - Capricorn Coast",1,532806,200082
20-279,GOOGLE-YEPMUL-Weekday-04,2816864-GOOGLE-YEPMUL-Weekday-04,"Rockhampton - Yeppoon - Capricorn Coast",1,532818,200080
20-279,GOOGLE-YEPMUL-Weekday-04,2816865-GOOGLE-YEPMUL-Weekday-04,"Rockhampton - Yeppoon - Capricorn Coast",1,532806,200081
20-279,GOOGLE-YEPMUL-Weekday-04,2816866-GOOGLE-YEPMUL-Weekday-04,"Rockhampton - Yeppoon - Capricorn Coast",1,532819,200081
20-279,GOOGLE-YEPMUL-Weekday-04,2816867-GOOGLE-YEPMUL-Weekday-04,"Rockhampton - Yeppoon - Capricorn Coast",1,532802,200083
20-279,GOOGLE-YEPMUL-Weekday-04,2816868-GOOGLE-YEPMUL-Weekday-04,"Rockhampton - Yeppoon - Capricorn Coast",1,532804,200092
20-279,GOOGLE-YEPMUL-Weekday-04,2816869-GOOGLE-YEPMUL-Weekday-04,"Rockhampton - Yeppoon - Capricorn Coast",1,532805,200134
20-279,GOOGLE-YEPMUL-Weekday-04,2816870-GOOGLE-YEPMUL-Weekday-04,"Rockhampton - Yeppoon - Capricorn Coast",1,532808,200084
20-279,GOOGLE-YEPMUL-Weekday-04,2816871-GOOGLE-YEPMUL-Weekday-04,"Rockhampton - Yeppoon - Capricorn Coast",1,532808,200084
20-279,GOOGLE-YEPMUL-Weekday-04,2816872-GOOGLE-YEPMUL-Weekday-04,"Rockhampton - Yeppoon - Capricorn Coast",1,532815,200093
20-279,GOOGLE-YEPMUL-Weekday-04,2816873-GOOGLE-YEPMUL-Weekday-04,"Rockhampton - Yeppoon - Capricorn Coast",1,532807,200131
20-279,GOOGLE-YEPMUL-Weekday-04,2816874-GOOGLE-YEPMUL-Weekday-04,"Rockhampton - Yeppoon - Capricorn Coast",1,532813,200131
20-279,GOOGLE-YEPMUL-Weekday-04,2816875-GOOGLE-YEPMUL-Weekday-04,"Rockhampton - Yeppoon - Capricorn Coast",1,532814,200136
20-279,GOOGLE-YEPMUL-Weekday-04,2816876-GOOGLE-YEPMUL-Weekday-04,"Rockhampton - Yeppoon - Capricorn Coast",1,532806,200132
